Probes	Sample_A	Sample_B	Sample_C	Sample_D	Sample_E	Sample_F	Sample_G	Sample_H	Sample_I
1415670_at	7.881277416	8.014900401	8.105646595	8.038661021	7.98694565	7.967664677	8.152089267	8.350774657	8.330648736
1415671_at	8.550557983	8.542761529	8.589900074	8.558988957	8.734039559	8.652450912	8.54532582	8.637384918	8.570854836
1415672_at	9.164179419	9.227641008	9.38370173	9.233082523	9.300086851	9.410708156	9.433116438	9.395547932	9.520814612
1415673_at	6.987555483	6.943453343	6.786006168	6.799507145	6.876276222	6.840382554	6.736326595	7.000201689	6.715208274
1415674_a_at	7.72076365	7.826528169	7.866436681	7.810996698	7.979611376	7.912198443	7.766663136	7.883762329	7.556473314
1415675_at	8.111344271	8.382417893	8.196223221	8.21977261	8.128894867	8.241160361	8.053970726	8.021388328	8.145087106
1415676_a_at	9.201390323	9.2392594	9.415026994	9.467332747	9.550337787	9.503339624	9.566989683	9.684880135	9.538700526
1415677_at	6.577523059	6.439699149	6.915539421	6.838019568	6.793252689	6.972250916	7.828883246	7.49001194	7.636858573
1415678_at	8.094395988	8.079922191	8.421746886	8.167751405	8.028369676	7.98605711	7.755403361	7.614973891	7.881142465
1415679_at	9.631968792	9.509057376	9.703925015	9.713538451	9.781703072	9.659852488	9.145758071	9.15060411	9.125295117
1415680_at	8.593687794	8.831648312	8.676541106	8.591643098	8.51337375	8.539551328	8.75808376	8.857410336	8.953842248
1415681_at	8.268385765	8.32823765	8.546746199	8.431604089	8.391838952	8.47098867	8.120357243	8.345362917	8.167903749
1415682_at	7.454798494	7.545169299	7.772046925	7.658051307	7.995442639	7.900197492	7.637037239	7.769315747	7.560092754
1415683_at	8.843715672	8.851554482	9.146264603	9.071815896	9.027038486	9.121370525	9.456440572	9.551410187	9.567336753
1415684_at	7.10113241	7.027531548	7.456005493	7.475227336	7.458160582	7.362600292	7.183221063	7.164560695	7.205346653
1415685_at	6.859091338	6.943082261	6.922973777	6.887635505	6.910275054	7.029692879	7.008593191	7.08416897	7.48400757
1415686_at	8.25432178	8.209087513	8.510233329	8.552522083	8.602457676	8.580557192	8.396876843	8.524331228	8.625825671
1415687_a_at	11.12557492	11.27253195	11.45627722	11.42046013	11.65817945	11.66958666	11.87153898	11.95308587	11.92844702
1415688_at	8.566630989	8.473304425	8.788418271	8.691051384	8.655407957	8.610079	8.989880014	8.789048407	8.77539664
1415689_s_at	8.210955314	8.062129768	8.068559476	7.882423246	7.985822176	7.902545122	7.650156007	7.904887838	8.019846729
1415690_at	6.888906616	7.131481083	7.244313391	7.210050567	7.400830722	7.470734699	8.306445433	8.108317123	8.272167954
1415691_at	8.510573326	8.352666993	8.523779501	8.447667472	8.205580042	8.296544587	7.91795557	7.989258865	8.016018593
