	GSM74875	GSM74876	GSM74877	GSM74878	GSM74879	GSM74880	GSM74881	GSM74882	GSM74883	GSM74884	GSM74885	GSM74886	GSM74887	GSM74888	GSM74889	GSM74890	GSM74891	GSM74892	GSM74893
1007_s_at	9.819565	9.996284	9.408937	10.389239	10.129356	10.094622	9.476514	9.433171	9.808435	10.051977	9.860412	9.637940	9.584786	10.227904	9.893508	9.769497	9.640829	9.913066	9.942066
1053_at	6.273315	6.281698	6.238251	8.600750	7.512592	7.380511	6.146780	6.057924	5.749897	6.122425	6.237550	6.281311	6.320553	7.600023	8.113393	6.382038	5.938310	7.173972	7.256017
117_at	5.139791	5.379402	5.202840	5.179675	5.019845	5.081443	5.508015	5.700962	5.203832	5.466023	5.199872	5.296648	5.386720	9.297770	6.210214	5.682893	5.716088	7.455130	7.281259
121_at	6.980207	7.134305	7.017812	6.915497	6.988074	7.040744	7.419044	7.342474	7.558201	7.688988	7.513176	7.318404	7.301111	7.019145	7.012336	7.095189	7.190555	7.140078	7.124447
1255_g_at	3.288932	3.227720	3.172289	3.249081	3.217174	3.166239	3.316541	3.220619	3.250533	3.290890	3.173075	3.200419	3.333120	3.374597	3.241964	3.160927	3.407422	3.292719	3.342513
1294_at	7.492713	7.632560	7.640793	7.362701	7.502883	7.473628	6.969079	7.066594	7.561447	7.502668	7.414363	7.204278	7.274481	7.437750	7.606599	7.065091	6.524013	7.311862	7.188937
1316_at	6.154665	6.459238	6.144482	6.246580	6.174775	6.202309	6.070342	6.277791	6.518223	6.330892	6.290668	6.254294	6.264964	6.667659	6.266567	6.320367	6.448458	6.352301	6.368535
1320_at	4.267743	4.198454	4.362318	4.277563	4.233540	4.329207	4.249134	4.403296	4.182730	4.363883	4.396413	4.254235	4.340363	4.179482	3.977208	4.127677	4.484133	4.077008	4.269398
1405_i_at	6.012316	5.061513	7.247268	5.525614	6.044643	6.004810	5.673901	6.099168	5.946515	5.733685	6.292430	6.026382	5.972715	3.634358	4.056871	5.114267	4.237024	4.040800	4.017353
1431_at	3.816303	4.043622	3.761298	3.672325	4.022130	3.776844	3.729128	3.798882	3.785276	3.974107	3.792508	3.652477	3.691727	3.777258	3.666221	3.583938	3.437651	3.591071	3.596799
