'de novo' IMP biosynthesis	IMP biosynthesis
'de novo' protein folding	protein folding
'de novo' pyrimidine base biosynthesis	pyrimidine base biosynthesis
(+)-camphor biosynthesis	(+)-camphor metabolism
(+)-camphor biosynthesis	ketone biosynthesis
(+)-camphor biosynthesis	terpene biosynthesis
(+)-camphor catabolism	(+)-camphor metabolism
(+)-camphor catabolism	ketone catabolism
(+)-camphor catabolism	terpene catabolism
(+)-camphor metabolism	ketone metabolism
(+)-camphor metabolism	terpene metabolism
(3-aminopropyl)(L-aspartyl-1-amino)phosphoryl-5'-adenosine biosynthesis from asparagine	asparagine metabolism
(3-aminopropyl)(L-aspartyl-1-amino)phosphoryl-5'-adenosine biosynthesis from asparagine	peptidyl-asparagine modification
(R)-4-hydroxymandelate catabolism	(R)-4-hydroxymandelate metabolism
(R)-4-hydroxymandelate catabolism	mandelate catabolism
(R)-4-hydroxymandelate metabolism	mandelate metabolism
(R)-4-hydroxymandelate metabolism	phenol metabolism
(R)-mandelate catabolism to benzoate	benzoate metabolism
(R)-mandelate catabolism to benzoate	mandelate catabolism
(R)-mandelate catabolism to catechol	catechol metabolism
(R)-mandelate catabolism to catechol	mandelate catabolism
(delayed) early viral mRNA transcription	viral transcription
1-aminocyclopropane-1-carboxylate biosynthesis	1-aminocyclopropane-1-carboxylate metabolism
1-aminocyclopropane-1-carboxylate biosynthesis	amino acid derivative biosynthesis
1-aminocyclopropane-1-carboxylate biosynthesis	aromatic compound biosynthesis
1-aminocyclopropane-1-carboxylate biosynthesis	ethylene biosynthesis
1-aminocyclopropane-1-carboxylate catabolism	1-aminocyclopropane-1-carboxylate metabolism
1-aminocyclopropane-1-carboxylate catabolism	amino acid derivative catabolism
1-aminocyclopropane-1-carboxylate catabolism	aromatic compound catabolism
1-aminocyclopropane-1-carboxylate catabolism	methionine catabolism
1-aminocyclopropane-1-carboxylate catabolism	threonine catabolism
1-aminocyclopropane-1-carboxylate catabolism	xenobiotic catabolism
1-aminocyclopropane-1-carboxylate metabolism	amine metabolism
1-aminocyclopropane-1-carboxylate metabolism	amino acid derivative metabolism
1-aminocyclopropane-1-carboxylate metabolism	carboxylic acid metabolism
10-formyltetrahydrofolate biosynthesis	10-formyltetrahydrofolate metabolism
10-formyltetrahydrofolate biosynthesis	folic acid and derivative biosynthesis
10-formyltetrahydrofolate catabolism	10-formyltetrahydrofolate metabolism
10-formyltetrahydrofolate catabolism	folic acid and derivative catabolism
10-formyltetrahydrofolate metabolism	folic acid and derivative metabolism
1\,1\,1-trichloro-2\,2-bis-(4'-chlorophenyl)ethane catabolism	1\,1\,1-trichloro-2\,2-bis-(4'-chlorophenyl)ethane metabolism
1\,1\,1-trichloro-2\,2-bis-(4'-chlorophenyl)ethane catabolism	chlorinated hydrocarbon catabolism
1\,1\,1-trichloro-2\,2-bis-(4'-chlorophenyl)ethane catabolism	insecticide catabolism
1\,1\,1-trichloro-2\,2-bis-(4'-chlorophenyl)ethane metabolism	benzene and derivative metabolism
1\,1\,1-trichloro-2\,2-bis-(4'-chlorophenyl)ethane metabolism	chlorinated hydrocarbon metabolism
1\,1\,1-trichloro-2\,2-bis-(4'-chlorophenyl)ethane metabolism	insecticide metabolism
1\,1\,1-trichloro-2\,2-bis-(4'-chlorophenyl)ethane metabolism	response to DDT
1\,2-dichloroethane catabolism	1\,2-dichloroethane metabolism
1\,2-dichloroethane catabolism	chlorinated hydrocarbon catabolism
1\,2-dichloroethane metabolism	chlorinated hydrocarbon metabolism
1\,2\,3-tribromopropane metabolism	halogenated hydrocarbon metabolism
