3-beta-hydroxysteroid dehydrogenase, type II, deficiency	3-beta-hydroxysteroid dehydrogenase
3-methylglutaconic aciduria, type I	3-methylglutaconic aciduria
3-methylglutaconicaciduria, type III	3-methylglutaconicaciduria
AFP deficiency, congenital	AFP deficiency
AIDS, resistance to	AIDS
AMP deaminase deficiency, erythrocytic	AMP deaminase deficiency
Acanthocytosis, one form	Acanthocytosis
Achondrogenesis-hypochondrogenesis, type II	Achondrogenesis-hypochondrogenesis
Achromatopsia-1	Achromatopsia
Achromatopsia-2	Achromatopsia
Achromatopsia-3	Achromatopsia
Acrodermatitis enteropathica, zinc-deficiency type	Acrodermatitis enteropathica
Acromegaloid features, overgrowth, cleft palate, and hernia	Acromegaloid features
Acromesomelic dysplasia, Hunter-Thompson type	Acromesomelic dysplasia
Acromesomelic dysplasia, Maroteaux type	Acromesomelic dysplasia
Acyl-CoA dehydrogenase, long chain, deficiency of	Acyl-CoA dehydrogenase
Acyl-CoA dehydrogenase, medium chain, deficiency of	Acyl-CoA dehydrogenase
Acyl-CoA dehydrogenase, short-chain, deficiency of	Acyl-CoA dehydrogenase
Adenocarcinoma of lung, somatic	Adenocarcinoma of lung
Adenoma, periampullary	Adenoma
Adenomas, multiple colorectal	Adenomas
Adenomatous polyposis coli, attenuated	Adenomatous polyposis coli
Adhalinopathy, primary	Adhalinopathy
Adrenal adenoma, sporadic	Adrenal adenoma
Adrenal hyperplasia, congenital, due to 11-beta-hydroxylase deficiency	Adrenal hyperplasia
Adrenal hyperplasia, congenital, due to 17-alpha-hydroxylase deficiency	Adrenal hyperplasia
Adrenal hyperplasia, congenital, due to 21-hydroxylase deficiency	Adrenal hyperplasia
Adrenal hypoplasia, congenital, with hypogonadotropic hypogonadism	Adrenal hypoplasia
Adrenocortical carcinoma, hereditary	Adrenocortical carcinoma
Adrenoleukodystrophy, neonatal	Adrenoleukodystrophy
Adrenoleukodystrophy, pseudoneonatal	Adrenoleukodystrophy
Advanced sleep phase syndrome, familial	Advanced sleep phase syndrome
Afibrinogenemia, congenital	Afibrinogenemia
Agammaglobulinemia, autosomal recessive	Agammaglobulinemia
Agammaglobulinemia, type 1, X-linked	Agammaglobulinemia
Agammaglobulinemia, type 2, X-linked	Agammaglobulinemia
Aicardi-Goutieres syndrome 1	Aicardi-Goutieres syndrome
Albinism, brown	Albinism
Albinism, brown oculocutaneous,	Albinism
Albinism, ocular, autosomal recessive	Albinism
Albinism, oculocutaneous, type IA	Albinism
Albinism, oculocutaneous, type IB	Albinism
Albinism, oculocutaneous, type II	Albinism
Albinism, rufous	Albinism
Alcohol intolerance, acute	Alcohol intolerance
Alcoholism, susceptibility to	Alcoholism
Aldosteronism, glucocorticoid-remediable	Aldosteronism
Alpha-thalassemia/mental retardation syndrome, type 1	Alpha-thalassemia/mental retardation syndrome
Alport syndrome, autosomal recessive	Alport syndrome
Alport syndrome, mental retardation, midface hypoplasia, and elliptocytosis	Alport syndrome
Alzheimer disease 6	Alzheimer disease
Alzheimer disease, familial, with spastic paraparesis and unusual plaques	Alzheimer disease
Alzheimer disease, susceptibility to	Alzheimer disease
Alzheimer disease-1, APP-related	Alzheimer disease
Alzheimer disease-2, late onset	Alzheimer disease
Alzheimer disease-3	Alzheimer disease
Alzheimer disease-3, early onset	Alzheimer disease
Alzheimer disease-4	Alzheimer disease
Alzheimer disease-5	Alzheimer disease
Amelogenesis imperfecta 2, hypoplastic local	Amelogenesis imperfecta
Amelogenesis imperfecta-2, hypoplastic local type	Amelogenesis imperfecta
Amyloid neuropathy, familial, several allelic types	Amyloid neuropathy
Amyloidosis, 3 or more types	Amyloidosis
Amyloidosis, Finnish type	Amyloidosis
Amyloidosis, cerebroarterial, Dutch type	Amyloidosis
Amyloidosis, hereditary renal	Amyloidosis
Amyloidosis, renal	Amyloidosis
Amyloidosis, secondary, susceptibility to	Amyloidosis
Amyloidosis, senile systemic	Amyloidosis
Amyotrophic lateral sclerosis, juvenile	Amyotrophic lateral sclerosis
Amyotrophic lateral sclerosis, susceptibility to	Amyotrophic lateral sclerosis
Amyotrophic lateral sclerosis-4, juvenile dominant	Amyotrophic lateral sclerosis
Amytrophic lateral sclerosis, due to SOD1 deficiency	Amytrophic lateral sclerosis
Amytrophic lateral sclerosis-5, juvenile recessive	Amytrophic lateral sclerosis
Anemia, Diamond-Blackfan	Anemia
Anemia, congenital dyserythropoietic, type I	Anemia
Anemia, hemolytic, Rh-null, regulator type	Anemia
Anemia, hemolytic, due to PK deficiency	Anemia
Anemia, hemolytic, due to UMPH1 deficiency	Anemia
Anemia, neonatal hemolytic, fatal and near-fatal	Anemia
Anemia, pernicious, congenital, due to deficiency of intrinsic factor	Anemia
Anemia, sideroblastic, with ataxia	Anemia
Anemia, sideroblastic/hypochromic	Anemia
Aneurysm, familial arterial	Aneurysm
Aneurysm, intracranial berry	Aneurysm
Angioedema, hereditary	Angioedema
Angiofibroma, sporadic	Angiofibroma
Angioneurotic edema, hereditary, X-linked	Angioneurotic edema
Aniridia, type II	Aniridia
Anophthalmia 3	Anophthalmia
Anorexia nervosa, susceptibility to	Anorexia nervosa
Aortic aneurysm, familial thoracic 1	Aortic aneurysm
Aortic aneurysm, familial thoracic 2	Aortic aneurysm
Apnea, postanesthetic	Apnea
ApoA-I and apoC-III deficiency, combined	ApoA-I and apoC-III deficiency
Apparent mineralocorticoid excess, hypertension due to	Apparent mineralocorticoid excess
Arrhythmogenic right ventricular dysplasia 2	Arrhythmogenic right ventricular dysplasia
Arrhythmogenic right ventricular dysplasia 8	Arrhythmogenic right ventricular dysplasia
Arrhythmogenic right ventricular dysplasia-1	Arrhythmogenic right ventricular dysplasia
Arrhythmogenic right ventricular dysplasia-2	Arrhythmogenic right ventricular dysplasia
Arrhythmogenic right ventricular dysplasia-3	Arrhythmogenic right ventricular dysplasia
Arrhythmogenic right ventricular dysplasia-4	Arrhythmogenic right ventricular dysplasia
Arrhythmogenic right ventricular dysplasia-5	Arrhythmogenic right ventricular dysplasia
Arrhythmogenic right ventricular dysplasia-6	Arrhythmogenic right ventricular dysplasia
Arthritis, familial recurrent	Arthritis
Arthrogryposis multiplex congenita, distal, type 1	Arthrogryposis multiplex congenita
Arthrogryposis multiplex congenita, distal, type 2B	Arthrogryposis multiplex congenita
Arthrogryposis multiplex congenita, neurogenic	Arthrogryposis multiplex congenita
Arthrogryposis, X-linked (spinal muscular atrophy, infantile, X-linked)	Arthrogryposis
Arthropathy, progressive pseudorheumatoid, of childhood	Arthropathy
Asthma and atopy, susceptibility to	Asthma and atopy
Asthma, atopic, susceptibility to	Asthma
Asthma, nocturnal, susceptibility to	Asthma
Asthma, susceptibility to	Asthma
Ataxia, early-onset, with oculomotor apraxia and hypoalbuminemia	Ataxia
Ataxia, episodic	Ataxia
Atherosclerosis, susceptibility to	Atherosclerosis
Atopy, susceptibility to	Atopy
Atrial fibrillation, familial	Atrial fibrillation
Atrial septal defect, secundum type	Atrial septal defect
Atrioventricular block, idiopathic second-degree	Atrioventricular block
Attention-deficit hyperactivity disorder, susceptibility to	Attention-deficit hyperactivity disorder
Autism, X-linked	Autism
Autism, succinylpurinemic	Autism
Autism, susceptibility to	Autism
Autism, susceptibility to, 3	Autism
Autoimmune lymphoproliferative syndrome, type II	Autoimmune lymphoproliferative syndrome
Autoimmune polyglandular disease, type I	Autoimmune polyglandular disease
Azoospremia, nonobstructive	Azoospremia
B-cell non-Hodgkin lymphoma, high-grade	B-cell non-Hodgkin lymphoma
BCG and salmonella infection, disseminated	BCG and salmonella infection
BCG infection, generalized familial	BCG infection
Bardet-Biedl syndrome 1	Bardet-Biedl syndrome
Bardet-Biedl syndrome 2	Bardet-Biedl syndrome
Bardet-Biedl syndrome 3	Bardet-Biedl syndrome
Bardet-Biedl syndrome 4	Bardet-Biedl syndrome
Bardet-Biedl syndrome 5	Bardet-Biedl syndrome
Bardet-Biedl syndrome 6	Bardet-Biedl syndrome
Bare lymphocyte syndrome, type I	Bare lymphocyte syndrome
Bare lymphocyte syndrome, type I, due to TAP2 deficiency	Bare lymphocyte syndrome
Bare lymphocyte syndrome, type II, complementation group C	Bare lymphocyte syndrome
Bare lymphocyte syndrome, type II, complementation group D	Bare lymphocyte syndrome
Bare lymphocyte syndrome, type II, complementation group E	Bare lymphocyte syndrome
Bartter syndrome, antenatal	Bartter syndrome
Bartter syndrome, infantile, with sensorineural deafness	Bartter syndrome
Basal cell carcinoma, somatic	Basal cell carcinoma
Basal cell carcinoma, sporadic	Basal cell carcinoma
Basal ganglia calcification, idiopathic	Basal ganglia calcification
Basal ganglia disease, adult-onset	Basal ganglia disease
Benzene toxicity, susceptibility to	Benzene toxicity
Berardinelli-Seip congenital lipodystrophy-1	Berardinelli-Seip congenital lipodystrophy
Berardinelli-Seip congenital lipodystrophy-2	Berardinelli-Seip congenital lipodystrophy
Bernard-Soulier syndrome, type B	Bernard-Soulier syndrome
Bernard-Soulier syndrome, type C	Bernard-Soulier syndrome
Beryllium disease, chronic, susceptibility to	Beryllium disease
Bile acid malabsorption, primary	Bile acid malabsorption
Bleeding disorder, east Texas type	Bleeding disorder
Blepharophimosis, epicanthus inversus, and ptosis, type 1	Blepharophimosis
Blepharophimosis, epicanthus inversus, and ptosis, type 2	Blepharophimosis
Blepharospasm, primary benign	Blepharospasm
Bone mineral density variability 1	Bone mineral density variability
Bone mineral density variability 3	Bone mineral density variability
Bone mineral density variation 2	Bone mineral density variation
Brachydactyly, type A1	Brachydactyly
Brachydactyly, type B1	Brachydactyly
Brachydactyly, type C	Brachydactyly
Branchiootic syndrome 2	Branchiootic syndrome
Breast cancer 2, early onset	Breast cancer
Breast cancer, 11:22 translocation associated	Breast cancer
Breast cancer, ductal	Breast cancer
Breast cancer, early-onset	Breast cancer
Breast cancer, invasive intraductal	Breast cancer
Breast cancer, lobular	Breast cancer
Breast cancer, male, susceptibility to	Breast cancer
Breast cancer, male, with Reifenstein syndrome	Breast cancer
Breast cancer, somatic	Breast cancer
Breast cancer, sporadic	Breast cancer
Breast cancer, susceptibility to	Breast cancer
Breast cancer-1	Breast cancer
Bulimia nervosa, susceptibility to	Bulimia nervosa
Butterfly dystrophy, retinal	Butterfly dystrophy
C1q deficiency, type A	C1q deficiency
C1q deficiency, type B	C1q deficiency
C1q deficiency, type C	C1q deficiency
C1r/C1s deficiency, combined	C1r/C1s deficiency
C1s deficiency, isolated	C1s deficiency
C8 deficiency, type I	C8 deficiency
C8 deficiency, type II	C8 deficiency
CD3, zeta chain, deficiency	CD
CPT deficiency, hepatic, type IA	CPT deficiency
CPT deficiency, hepatic, type II	CPT deficiency
Cafe-au-lait spots, multiple, with leukemia	Cafe-au-lait spots
Candidiasis, familial chronic mucocutaneous, autosomal dominant, with thyroid disease	Candidiasis
Capillary malformations, hereditary	Capillary malformations
Carbohydrate-deficient glycoprotein syndrome, type I	Carbohydrate-deficient glycoprotein syndrome
Carbohydrate-deficient glycoprotein syndrome, type II	Carbohydrate-deficient glycoprotein syndrome
Carbohydrate-deficient glycoprotein syndrome, type Ib	Carbohydrate-deficient glycoprotein syndrome
Carcinoid tumors, intestinal	Carcinoid tumors
Cardiac valvular dysplasia-1	Cardiac valvular dysplasia
Cardioencephalomyopathy, fatal infantile, due to cytochrome c oxidase deficiency	Cardioencephalomyopathy
Cardiomopathy, hypertrophic, mid-ventricular chamber type	Cardiomopathy
Cardiomyopathy, X-linked dilated	Cardiomyopathy
Cardiomyopathy, dilated	Cardiomyopathy
Cardiomyopathy, dilated 1C	Cardiomyopathy
Cardiomyopathy, dilated, 1A	Cardiomyopathy
Cardiomyopathy, dilated, 1D	Cardiomyopathy
Cardiomyopathy, dilated, 1E	Cardiomyopathy
Cardiomyopathy, dilated, 1F	Cardiomyopathy
Cardiomyopathy, dilated, 1G, 604145, Tibial muscular dystrophy, tardive	Cardiomyopathy
Cardiomyopathy, dilated, 1H	Cardiomyopathy
Cardiomyopathy, dilated, 1I	Cardiomyopathy
Cardiomyopathy, dilated, 1J	Cardiomyopathy
Cardiomyopathy, dilated, 1K	Cardiomyopathy
Cardiomyopathy, dilated, 1L	Cardiomyopathy
Cardiomyopathy, dilated, 1M	Cardiomyopathy
Cardiomyopathy, dilated, 1N	Cardiomyopathy
Cardiomyopathy, dilated, X-linked	Cardiomyopathy
Cardiomyopathy, familial dilated 1B	Cardiomyopathy
Cardiomyopathy, familial hypertrophic	Cardiomyopathy
Cardiomyopathy, familial hypertrophic with Wolff-Parkinson-White syndrome	Cardiomyopathy
Cardiomyopathy, familial hypertrophic, 1	Cardiomyopathy
Cardiomyopathy, familial hypertrophic, 2	Cardiomyopathy
Cardiomyopathy, familial hypertrophic, 3	Cardiomyopathy
Cardiomyopathy, familial hypertrophic, 4	Cardiomyopathy
Cardiomyopathy, familial hypertrophic, 9	Cardiomyopathy
Cardiomyopathy, hypertrophic, early-onset fatal	Cardiomyopathy
Cardiomyopathy, hypertrophic, mid-left ventricular chamber type	Cardiomyopathy
Cardiomyopathy, hypertrophic, midventricular, digenic	Cardiomyopathy
Cardiomyopathy, hypertrophic, with WPW	Cardiomyopathy
Carney complex, type 1	Carney complex
Carney complex, type II	Carney complex
Carnitine deficiency, systemic primary	Carnitine deficiency
Carpal tunnel syndrome, familial	Carpal tunnel syndrome
Cataract, Coppock-like	Cataract
Cataract, Marner type	Cataract
Cataract, anterior polar-2	Cataract
Cataract, autosomal recessive, early-onset, pulverulent	Cataract
Cataract, central saccular, with sutural opacities	Cataract
Cataract, cerulean, type 1	Cataract
Cataract, cerulean, type 2	Cataract
Cataract, congenital	Cataract
Cataract, congenital progressive, autosomal recessive	Cataract
Cataract, congenital zonular, with sutural opacities	Cataract
Cataract, congenital, Volkmann type	Cataract
Cataract, congenital, with late-onset corneal dystrophy	Cataract
Cataract, congenital, with microphthalmia	Cataract
Cataract, cortical pulverulent, late-onset	Cataract
Cataract, crystalline aculeiform	Cataract
Cataract, juvenile-onset	Cataract
Cataract, lamellar	Cataract
Cataract, nuclear progressive	Cataract
Cataract, polymorphic and lamellar	Cataract
Cataract, polymorphic congenital	Cataract
Cataract, posterior polar	Cataract
Cataract, posterior polar 2	Cataract
Cataract, posterior polar-3	Cataract
Cataract, sutural, with punctate and cerulean opacities	Cataract
Cataract, variable zonular pulverulent	Cataract
Cataract, zonular central nuclear, autosomal dominant	Cataract
Cataract, zonular pulverulent-1	Cataract
Cataract, zonular pulverulent-3	Cataract
Cataracts, punctate, progressive juvenile-onset	Cataracts
Central core disease, one form	Central core disease
Central hypoventilation syndrome, congenital	Central hypoventilation syndrome
Cerebellar ataxia with mental retardation, optic atrophy, and skin abnormalities	Cerebellar ataxia with mental retardation
Cerebellar ataxia, Cayman type	Cerebellar ataxia
Cerebellar ataxia, autosomal dominant, FGF14-related	Cerebellar ataxia
Cerebellar ataxia, pure	Cerebellar ataxia
Cerebellar ataxia-2	Cerebellar ataxia
Cerebral cavernous malformations-1	Cerebral cavernous malformations
Cerebral cavernous malformations-2	Cerebral cavernous malformations
Cerebral cavernous malformations-3	Cerebral cavernous malformations
Cerebral palsy, ataxic, autosomal recessive	Cerebral palsy
Cerebrovascular disease, occlusive	Cerebrovascular disease
Ceroid lipofuscinosis, neuronal, variant juvenile type, with granular osmiophilic deposits	Ceroid lipofuscinosis
Ceroid lipofuscinosis, neuronal-1, infantile	Ceroid lipofuscinosis
Ceroid-lipofuscinosis, neuronal 2, classic late infantile	Ceroid-lipofuscinosis
Ceroid-lipofuscinosis, neuronal-3, juvenile	Ceroid-lipofuscinosis
Ceroid-lipofuscinosis, neuronal-5, variant late infantile	Ceroid-lipofuscinosis
Ceroid-lipofuscinosis, neuronal-6, variant late infantile	Ceroid-lipofuscinosis
Cervical cancer, somatic	Cervical cancer
Charcot-Marie-Tooth disease, dominant intermediate 1	Charcot-Marie-Tooth disease
Charcot-Marie-Tooth disease, type 1	Charcot-Marie-Tooth disease
Charcot-Marie-Tooth disease, type 1C	Charcot-Marie-Tooth disease
Charcot-Marie-Tooth disease, type 2B	Charcot-Marie-Tooth disease
Charcot-Marie-Tooth disease, type 2B1	Charcot-Marie-Tooth disease
Charcot-Marie-Tooth disease, type 2B2	Charcot-Marie-Tooth disease
Charcot-Marie-Tooth disease, type 2E	Charcot-Marie-Tooth disease
Charcot-Marie-Tooth disease, type 2F	Charcot-Marie-Tooth disease
Charcot-Marie-Tooth disease, type 4B	Charcot-Marie-Tooth disease
Charcot-Marie-Tooth disease, type 4B, form 2	Charcot-Marie-Tooth disease
Charcot-Marie-Tooth neuropathy, X-linked-1, dominant	Charcot-Marie-Tooth neuropathy
Charcot-Marie-Tooth neuropathy, X-linked-2, recessive	Charcot-Marie-Tooth neuropathy
