mitochondrion inheritance	GO:0000001
mitochondrial genome maintenance	GO:0000002
reproduction	GO:0000003
biological_process unknown	GO:0000004
vacuole inheritance	GO:0000011
single strand break repair	GO:0000012
alpha-glucoside transport	GO:0000017
regulation of DNA recombination	GO:0000018
regulation of mitotic recombination	GO:0000019
mitotic spindle elongation	GO:0000022
maltose metabolism	GO:0000023
maltose biosynthesis	GO:0000024
maltose catabolism	GO:0000025
ribosomal large subunit assembly and maintenance	GO:0000027
ribosomal small subunit assembly and maintenance	GO:0000028
cell wall mannoprotein biosynthesis	GO:0000032
very-long-chain fatty acid metabolism	GO:0000038
low affinity iron ion transport	GO:0000040
transition metal ion transport	GO:0000041
protein-Golgi targeting	GO:0000042
ascorbate stabilization	GO:0000044
autophagic vacuole formation	GO:0000045
autophagic vacuole fusion	GO:0000046
urea cycle	GO:0000050
urea cycle intermediate metabolism	GO:0000051
citrulline metabolism	GO:0000052
argininosuccinate metabolism	GO:0000053
ribosome nucleus export	GO:0000054
ribosomal large subunit nucleus export	GO:0000055
ribosomal small subunit nucleus export	GO:0000056
protein-nucleus import\, docking	GO:0000059
protein-nucleus import\, translocation	GO:0000060
protein-nucleus import\, substrate release	GO:0000061
nuclear migration (sensu Saccharomyces)	GO:0000065
mitochondrial ornithine transport	GO:0000066
DNA replication and chromosome cycle	GO:0000067
centromere/kinetochore complex maturation	GO:0000069
mitotic chromosome segregation	GO:0000070
mitotic spindle assembly (sensu Saccharomyces)	GO:0000071
M-phase specific microtubule process	GO:0000072
spindle pole body separation (sensu Saccharomyces)	GO:0000073
regulation of cell cycle	GO:0000074
cell cycle checkpoint	GO:0000075
DNA replication checkpoint	GO:0000076
DNA damage response\, signal transduction resulting in cell cycle arrest	GO:0000077
cell morphogenesis checkpoint	GO:0000078
regulation of CDK activity	GO:0000079
G1 phase of mitotic cell cycle	GO:0000080
G1/S transition of mitotic cell cycle	GO:0000082
G1/S-specific transcription in mitotic cell cycle	GO:0000083
S phase of mitotic cell cycle	GO:0000084
G2 phase of mitotic cell cycle	GO:0000085
G2/M transition of mitotic cell cycle	GO:0000086
M phase of mitotic cell cycle	GO:0000087
mitotic prophase	GO:0000088
mitotic metaphase	GO:0000089
mitotic anaphase	GO:0000090
mitotic anaphase A	GO:0000091
mitotic anaphase B	GO:0000092
mitotic telophase	GO:0000093
sulfur amino acid metabolism	GO:0000096
sulfur amino acid biosynthesis	GO:0000097
sulfur amino acid catabolism	GO:0000098
sulfur amino acid transport	GO:0000101
sulfate assimilation	GO:0000103
