phosphopyruvate hydratase complex	GO:0000015
repairosome	GO:0000108
nucleotide excision repair complex	GO:0000109
nucleotide excision repair factor 1 complex	GO:0000110
nucleotide excision repair factor 2 complex	GO:0000111
nucleotide excision repair factor 3 complex	GO:0000112
nucleotide excision repair factor 4 complex	GO:0000113
histone deacetylase complex	GO:0000118
mediator complex	GO:0000119
RNA polymerase I transcription factor complex	GO:0000120
histone acetyltransferase complex	GO:0000123
SAGA complex	GO:0000124
PCAF complex	GO:0000125
transcription factor TFIIIB complex	GO:0000126
transcription factor TFIIIC complex	GO:0000127
incipient bud site	GO:0000131
polarisome	GO:0000133
site of polarized growth (sensu Saccharomyces)	GO:0000134
mannosyltransferase complex	GO:0000136
Golgi cis cisterna	GO:0000137
Golgi trans cisterna	GO:0000138
Golgi membrane	GO:0000139
actin cable (sensu Saccharomyces)	GO:0000141
contractile ring (sensu Saccharomyces)	GO:0000142
actin cap (sensu Saccharomyces)	GO:0000143
septin ring (sensu Saccharomyces)	GO:0000144
exocyst	GO:0000145
1\,3-beta-glucan synthase complex	GO:0000148
ubiquitin ligase complex	GO:0000151
nuclear ubiquitin ligase complex	GO:0000152
cytoplasmic ubiquitin ligase complex	GO:0000153
protein phosphatase type 2A complex	GO:0000159
protein phosphatase type 1 complex	GO:0000164
ribonuclease MRP complex	GO:0000172
nuclear exosome (RNase complex)	GO:0000176
cytoplasmic exosome (RNase complex)	GO:0000177
exosome (RNase complex)	GO:0000178
tRNA-intron endonuclease complex	GO:0000214
hydrogen-transporting ATPase V0 domain	GO:0000220
hydrogen-transporting ATPase V1 domain	GO:0000221
plasma membrane hydrogen-transporting ATPase V0 domain	GO:0000222
plasma membrane hydrogen-transporting ATPase V1 domain	GO:0000223
nuclear chromosome	GO:0000228
cytoplasmic chromosome	GO:0000229
astral microtubule	GO:0000235
pericentriolar material	GO:0000242
commitment complex	GO:0000243
mitochondrial chromosome	GO:0000262
cell fraction	GO:0000267
proton-transporting ATP synthase\, stator stalk (sensu Eukarya)	GO:0000274
proton-transporting ATP synthase complex\, catalytic core F(1) (sensu Eukarya)	GO:0000275
proton-transporting ATP synthase complex\, coupling factor F(o) (sensu Eukarya)	GO:0000276
integral membrane protein of membrane fraction	GO:0000299
peripheral membrane protein of membrane fraction	GO:0000300
extrinsic to vacuolar membrane	GO:0000306
cyclin-dependent protein kinase holoenzyme complex	GO:0000307
cytoplasmic cyclin-dependent protein kinase holoenzyme complex	GO:0000308
plastid large ribosomal subunit	GO:0000311
plastid small ribosomal subunit	GO:0000312
organellar ribosome	GO:0000313
organellar small ribosomal subunit	GO:0000314
organellar large ribosomal subunit	GO:0000315
storage vacuole	GO:0000322
lytic vacuole	GO:0000323
vacuole (sensu Fungi)	GO:0000324
vacuole (sensu Streptophyta)	GO:0000325
protein storage vacuole	GO:0000326
lytic vacuole within protein storage vacuole	GO:0000327
vacuolar lumen (sensu Fungi)	GO:0000328
vacuolar membrane (sensu Fungi)	GO:0000329
vacuolar lumen (sensu Streptophyta)	GO:0000330
contractile vacuole	GO:0000331
telomerase catalytic core complex	GO:0000333
plastid-encoded plastid RNA polymerase complex A	GO:0000343
plastid-encoded plastid RNA polymerase complex B	GO:0000344
cytosolic DNA-directed RNA polymerase (sensu Bacteria)	GO:0000345
transcription export complex	GO:0000346
THO complex	GO:0000347
RNA polymerase I upstream activating factor complex	GO:0000500
proteasome complex (sensu Eukarya)	GO:0000502
proteasome core complex (sensu Bacteria)	GO:0000503
proteasome regulatory particle (sensu Bacteria)	GO:0000504
chromosome\, pericentric region	GO:0000775
kinetochore	GO:0000776
condensed chromosome kinetochore	GO:0000777
condensed nuclear chromosome kinetochore	GO:0000778
condensed chromosome\, pericentric region	GO:0000779
condensed nuclear chromosome\, pericentric region	GO:0000780
chromosome\, telomeric region	GO:0000781
telomere cap complex	GO:0000782
nuclear telomere cap complex	GO:0000783
nuclear chromosome\, telomeric region	GO:0000784
chromatin	GO:0000785
nucleosome	GO:0000786
cytoplasmic nucleosome	GO:0000787
nuclear nucleosome	GO:0000788
cytoplasmic chromatin	GO:0000789
nuclear chromatin	GO:0000790
euchromatin	GO:0000791
heterochromatin	GO:0000792
condensed chromosome	GO:0000793
condensed nuclear chromosome	GO:0000794
synaptonemal complex	GO:0000795
condensin complex	GO:0000796
condensin core heterodimer	GO:0000797
nuclear cohesin complex	GO:0000798
nuclear condensin complex	GO:0000799
lateral element	GO:0000800
central element	GO:0000801
transverse filament	GO:0000802
sex chromosome	GO:0000803
W chromosome	GO:0000804
X chromosome	GO:0000805
Y chromosome	GO:0000806
Z chromosome	GO:0000807
origin of replication recognition complex	GO:0000808
cytoplasmic origin of replication recognition complex	GO:0000809
GINS complex	GO:0000811
spindle pole	GO:0000922
equatorial mitotic organizing center	GO:0000923
gamma-tubulin ring complex\, centrosomal	GO:0000924
gamma-tubulin ring complex\, centrosomal (sensu Animalia)	GO:0000925
gamma-tubulin large complex (sensu Animalia)	GO:0000926
gamma-tubulin small complex (sensu Animalia)	GO:0000927
gamma-tubulin complex (sensu Saccharomyces)	GO:0000928
gamma-tubulin large complex (sensu Schizosaccharomyces)	GO:0000929
gamma-tubulin complex	GO:0000930
gamma-tubulin large complex	GO:0000931
cytoplasmic mRNA processing body	GO:0000932
adventitious septum	GO:0000933
porous septum	GO:0000934
barrier septum	GO:0000935
primary septum	GO:0000936
dolipore septum	GO:0000937
GARP complex	GO:0000938
inner kinetochore of condensed chromosome	GO:0000939
outer kinetochore of condensed chromosome	GO:0000940
inner kinetochore of condensed nuclear chromosome	GO:0000941
outer kinetochore of condensed nuclear chromosome	GO:0000942
retrotransposon nucleocapsid	GO:0000943
base of shmoo tip	GO:0001400
voltage-gated sodium channel complex	GO:0001518
outer dense fiber	GO:0001520
microfibril	GO:0001527
cornified envelope	GO:0001533
radial spoke	GO:0001534
radial spokehead	GO:0001535
radial spoke stalk	GO:0001536
fibrillar center	GO:0001650
dense fibrillar component	GO:0001651
granular component	GO:0001652
acrosome	GO:0001669
male germ-cell nucleus	GO:0001673
female germ-cell nucleus	GO:0001674
stress fibers	GO:0001725
ruffles	GO:0001726
sex chromatin	GO:0001739
Barr body	GO:0001740
XY body	GO:0001741
photoreceptor outer segment	GO:0001750
extracellular	GO:0005576
fibrinogen complex	GO:0005577
extracellular matrix	GO:0005578
membrane attack complex	GO:0005579
collagen	GO:0005581
collagen type XV	GO:0005582
fibrillar collagen	GO:0005583
collagen type I	GO:0005584
collagen type II	GO:0005585
collagen type III	GO:0005586
collagen type IV	GO:0005587
collagen type V	GO:0005588
collagen type VI	GO:0005589
collagen type VII	GO:0005590
collagen type VIII	GO:0005591
collagen type XI	GO:0005592
facit collagen	GO:0005593
collagen type IX	GO:0005594
collagen type XII	GO:0005595
collagen type XIV	GO:0005596
collagen type XVI	GO:0005597
short-chain collagen	GO:0005598
collagen type X	GO:0005599
collagen type XIII	GO:0005600
classical-complement pathway C3/C5 convertase complex	GO:0005601
complement component C1q complex	GO:0005602
complement component C2 complex	GO:0005603
basement membrane	GO:0005604
basal lamina	GO:0005605
laminin-1	GO:0005606
laminin-2	GO:0005607
laminin-3	GO:0005608
laminin-4	GO:0005609
laminin-5	GO:0005610
laminin-6	GO:0005611
laminin-7	GO:0005612
interstitial matrix	GO:0005614
extracellular space	GO:0005615
larval serum protein complex	GO:0005616
cell wall	GO:0005618
spore wall (sensu Fungi)	GO:0005619
bud scar	GO:0005621
intracellular	GO:0005622
cell	GO:0005623
membrane fraction	GO:0005624
soluble fraction	GO:0005625
insoluble fraction	GO:0005626
prospore membrane	GO:0005628
dityrosine layer of spore wall	GO:0005630
chitosan layer of spore wall	GO:0005631
inner layer of spore wall	GO:0005632
ascus lipid droplet	GO:0005633
nucleus	GO:0005634
nuclear membrane	GO:0005635
nuclear inner membrane	GO:0005637
lamin filament	GO:0005638
integral to nuclear inner membrane	GO:0005639
nuclear outer membrane	GO:0005640
nuclear membrane lumen	GO:0005641
annulate lamellae	GO:0005642
nuclear pore	GO:0005643
nuclear lamina	GO:0005652
perinuclear space	GO:0005653
nucleoplasm	GO:0005654
nucleolar ribonuclease P complex	GO:0005655
pre-replicative complex	GO:0005656
replication fork	GO:0005657
alpha DNA polymerase\:primase complex	GO:0005658
delta DNA polymerase complex	GO:0005659
delta-DNA polymerase cofactor complex	GO:0005660
DNA replication factor A complex	GO:0005662
DNA replication factor C complex	GO:0005663
nuclear origin of replication recognition complex	GO:0005664
DNA-directed RNA polymerase II\, core complex	GO:0005665
DNA-directed RNA polymerase III complex	GO:0005666
transcription factor complex	GO:0005667
selectivity factor SL1 complex	GO:0005668
transcription factor TFIID complex	GO:0005669
Ada2/Gcn5/Ada3 transcription activator complex	GO:0005671
transcription factor TFIIA complex	GO:0005672
transcription factor TFIIE complex	GO:0005673
transcription factor TFIIF complex	GO:0005674
transcription factor TFIIH complex	GO:0005675
chromatin silencing complex	GO:0005677
chromatin assembly complex	GO:0005678
nucleosome remodeling complex	GO:0005679
anaphase-promoting complex	GO:0005680
spliceosome complex	GO:0005681
snRNP U5	GO:0005682
snRNP U7	GO:0005683
major (U2-dependent) spliceosome	GO:0005684
snRNP U1	GO:0005685
snRNP U2	GO:0005686
