ribosomal chaperone activity	GO:0000005
high affinity zinc uptake transporter activity	GO:0000006
low-affinity zinc ion transporter activity	GO:0000007
alpha-1\,6-mannosyltransferase activity	GO:0000009
trans-hexaprenyltranstransferase activity	GO:0000010
single-stranded DNA specific endodeoxyribonuclease activity	GO:0000014
lactase activity	GO:0000016
alpha-1\,2-mannosyltransferase activity	GO:0000026
mannosyltransferase activity	GO:0000030
mannosylphosphate transferase activity	GO:0000031
alpha-1\,3-mannosyltransferase activity	GO:0000033
adenine deaminase activity	GO:0000034
acyl binding	GO:0000035
acyl carrier activity	GO:0000036
peptidyltransferase activity	GO:0000048
tRNA binding	GO:0000049
acyl-CoA binding	GO:0000062
ornithine transporter activity	GO:0000064
S-adenosylmethionine transporter activity	GO:0000095
sulfur amino acid transporter activity	GO:0000099
S-methylmethionine transporter activity	GO:0000100
L-methionine porter activity	GO:0000102
succinate dehydrogenase activity	GO:0000104
biotin-apoprotein ligase activity	GO:0000106
imidazoleglycerol phosphate synthase activity	GO:0000107
glycerol-1-phosphatase activity	GO:0000121
acylglycerone-phosphate reductase activity	GO:0000140
microfilament motor activity	GO:0000146
SNARE binding	GO:0000149
recombinase activity	GO:0000150
two-component sensor molecule activity	GO:0000155
two-component response regulator activity	GO:0000156
protein phosphatase type 2A activity	GO:0000158
protein phosphatase type 1 activity	GO:0000163
nucleotide binding	GO:0000166
sphingosine hydroxylase activity	GO:0000170
ribonuclease MRP activity	GO:0000171
3'-5' exoribonuclease activity	GO:0000175
rRNA (adenine-N6\,N6-)-dimethyltransferase activity	GO:0000179
ribosomal DNA (rDNA) binding	GO:0000182
NAD+ pyrophosphatase activity	GO:0000210
protein degradation tagging activity	GO:0000211
tRNA-intron endonuclease activity	GO:0000213
tRNA 2'-phosphotransferase activity	GO:0000215
DNA secondary structure binding	GO:0000217
peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase activity	GO:0000224
N-acetylglucosaminylphosphatidylinositol deacetylase activity	GO:0000225
oxaloacetate carrier activity	GO:0000227
phosphoethanolamine N-methyltransferase activity	GO:0000234
delta24(24-1) sterol reductase activity	GO:0000246
C-8 sterol isomerase activity	GO:0000247
C-5 sterol desaturase activity	GO:0000248
C-22 sterol desaturase activity	GO:0000249
lanosterol synthase activity	GO:0000250
C-14 sterol reductase activity	GO:0000251
C-3 sterol dehydrogenase (C-4 sterol decarboxylase) activity	GO:0000252
3-keto sterol reductase activity	GO:0000253
C-4 methyl sterol oxidase activity	GO:0000254
nitrilase activity	GO:0000257
isoleucine/valine\:sodium symporter activity	GO:0000258
peroxisome targeting sequence binding	GO:0000268
toxin export channel activity	GO:0000269
[cytochrome c]-lysine N-methyltransferase activity	GO:0000277
1-phosphatidylinositol-3-phosphate 5-kinase activity	GO:0000285
alanine dehydrogenase activity	GO:0000286
magnesium ion binding	GO:0000287
ferric-chelate reductase activity	GO:0000293
adenine nucleotide transporter activity	GO:0000295
spermine transporter activity	GO:0000297
endopolyphosphatase activity	GO:0000298
nicotinamide-nucleotide adenylyltransferase activity	GO:0000309
xanthine phosphoribosyltransferase activity	GO:0000310
methionine-S-oxide reductase activity	GO:0000317
protein-methionine-R-oxide reductase activity	GO:0000318
sulfite transporter activity	GO:0000319
template for synthesis of G-rich strand of telomere DNA activity	GO:0000332
3-hydroxyanthranilate 3\,4-dioxygenase activity	GO:0000334
RNA cap binding	GO:0000339
RNA 7-methylguanosine cap binding	GO:0000340
RNA trimethylguanosine cap binding	GO:0000341
RNA cap 4 binding	GO:0000342
mismatch base pair DNA N-glycosylase activity	GO:0000700
purine-specific mismatch base pair DNA N-glycosylase activity	GO:0000701
oxidized base lesion DNA N-glycosylase activity	GO:0000702
pyrimidine-specific oxidized base lesion DNA N-glycosylase activity	GO:0000703
pyrimidine dimer DNA N-glycosylase activity	GO:0000704
(R\,R)-butanediol dehydrogenase activity	GO:0000721
DNA strand annealing activity	GO:0000739
mating pheromone activity	GO:0000772
phosphatidyl-N-methylethanolamine N-methyltransferase activity	GO:0000773
adenyl-nucleotide exchange factor activity	GO:0000774
diacylglycerol pyrophosphate phosphatase activity	GO:0000810
translation repressor activity\, nucleic acid binding	GO:0000900
translation repressor activity\, non-nucleic acid binding	GO:0000901
6\,7-dimethyl-8-ribityllumazine synthase activity	GO:0000906
sulfonate dioxygenase activity	GO:0000907
taurine dioxygenase activity	GO:0000908
legumain activity	GO:0001509
dihydronicotinamide riboside quinone reductase activity	GO:0001512
glutamate phosphate reductase activity	GO:0001513
opioid peptide activity	GO:0001515
N-acetylglucosamine-6-O-sulfotransferase activity	GO:0001517
lipopolysaccharide binding	GO:0001530
interleukin-21 receptor binding	GO:0001531
interleukin-21 receptor activity	GO:0001532
N-acetylgalactosamine-4-O-sulfotransferase activity	GO:0001537
beta-amyloid binding	GO:0001540
phorbol ester receptor activity	GO:0001565
non-kinase phorbol ester receptor activity	GO:0001566
cholesterol 25-hydroxylase activity	GO:0001567
non-tyrosine kinase fibroblast growth factor receptor activity	GO:0001571
rhodopsin-like receptor activity	GO:0001584
5-HT1 receptor activity	GO:0001586
5-HT2 receptor activity	GO:0001587
dopamine D1 receptor-like receptor activity	GO:0001588
