Ribosomal protein L11, RNA binding domain	PF00298
Domain of unknown function (DUF392). A eukaryotic specific domain of undetermined function.`	PF04128
Mammalian defensin	PF00323
TAP C-terminal domain. The vertebrate Tap protein is a member of the NXF family of shuttling transport receptors for nuclear export of mRNA. Tap has a modular structure, and its most C-terminal domain is important for binding to FG repeat-containing nucl	PF03943
Uncharacterized LmbE-like protein, COG2120	PF02585
Prp18 domain. The splicing factor Prp18 is required for the second step of pre-mRNA splicing. The structure of a large fragment of the Saccharomyces cerevisiae Prp18 is known. This fragment is fully active in yeast splicing in vitro and includes the seque	PF02840
Delta 1-pyrroline-5-carboxylate reductase	PF01089
Exportin-t. Exportin-t is a specific mediator of tRNA export. RanGTP-binding, importin beta-related factor with predominantly nuclear localization. It shuttles rapidly between nucleus and between nucleus and cytoplasm and interacts with nuclear pore compl	PF04150
TFIIE alpha subunit	PF02002
Adenosine/AMP deaminase	PF00962
Fibronectin type II domain	PF00040
UvrD/REP helicase. The Rep family helicases are composed of four structural domains. The Rep family function as dimers. REP helicases catalyse ATP dependent unwinding of double stranded DNA to single stranded DNA. Some members have large insertions near t	PF00580
Putative undecaprenyl diphosphate synthase. Previously known as uncharacterized protein family UPF0015, a single member of this family has been identified as an undecaprenyl diphosphate synthase	PF01255
pfam02937, COX6C, Cytochrome c oxidase subunit VIc. Cytochrome c oxidase, a 13 sub-unit complex, EC:1.9.3.1 is the terminal oxidase in the mitochondrial electron transport chain. This family is composed of cytochrome c oxidase subunit VIc	PF02937
Cytochrome b(N-terminal)/b6/petB	PF00033
Putative diphthamide synthesis protein. One member is a candidate tumour suppressor gene. DPH2 from yeast, which confers resistance to diphtheria toxin has been found to be involved in diphthamide synthesis. Diphtheria toxin inhibits eukaryotic protein s	PF01866
PUA domain. The PUA domain named after PseudoUridine synthase and Archaeosine transglycosylase, was detected in archaeal and eukaryotic pseudouridine synthases, archaeal archaeosine synthases, a family of predicted ATPases that may be involved in RNA modi	PF01472
IPT/TIG domain. This family consists of a domain that has an immunoglobulin like fold. These domains are found in cell surface receptors such as Met and Ron as well as in intracellular transcription factors where it is involved in DNA binding. CAUTION: T	PF01833
HRDC domain. The HRDC (Helicase and RNase D C-terminal) domain has a putative role in nucleic acid binding. Mutations in the HRDC domain cause human disease	PF00570
Stem cell factor. Stem cell factor (SCF) is a homodimer involved in hematopoiesis. SCF binds to and activates the SCF receptor (SCFR), a receptor tyrosine kinase. The crystal structure of human SCF has been resolved and a potential receptor-binding site i	PF02404
Sodium / potassium ATPase beta chain	PF00287
Cadherin cytoplasmic region. Cadherins are vital in cell-cell adhesion during tissue differentiation. Cadherins are linked to the cytoskeleton by catenins. Catenins bind to the cytoplasmic tail of the cadherin. Cadherins cluster to form foci of homophili	PF01049
tRNA synthetase B5 domain. This domain is found in phenylalanine-tRNA synthetase beta subunits	PF03484
DNA / pantothenate metabolism flavoprotein. The DNA/pantothenate metabolism flavoprotein (EC:4.1.1.36) affects synthesis of DNA, and pantothenate metabolism	PF04127
Metalloenzyme of unknown function DUF136. This family of archaeal proteins has no known function. However they appear to be related to a large superfamily of metalloenzymes	PF02004
RFX DNA-binding domain. RFX is a regulatory factor which binds to the X box of MHC class II genes and is essential for their expression. The DNA-binding domain of RFX is the central domain of the protein and binds ssDNA as either a monomer or homodimer	PF02257
Protein-arginine deiminase (PAD). Members of this family are found in mammals. In the presence of calcium ions, PAD enzymes EC:3.5.3.15 catalyse the post-translational modification reaction responsible for the formation of citrulline residues: Protein L-a	PF03068
Eukaryotic DNA topoisomerase I, DNA binding fragment. Topoisomerase I promotes the relaxation of DNA superhelical tension by introducing a transient single-stranded break in duplex DNA and are vital for the processes of replication, transcription, and rec	PF02919
Peptidase family M28D	PF03570
EPTP domain. Mutations in the LGI/Epitempin gene can result in a special form of epilepsy, autosomal dominant lateral temporal epilepsy. The Epitempin protein contains a large repeat in its C terminal section. This presumed domain has no known function,	PF03736
G10 protein	PF01125
Respiratory-chain NADH dehydrogenase 51 Kd subunit	PF01512
Osteopontin	PF00865
Ulp1 protease family, C-terminal catalytic domain. This domain contains the catalytic triad Cys-His-Asn	PF02902
TASK K+ channel	PF02034
Domain of unknown function (DUF339). This family of small proteins are uncharacterised	PF03937
KH domain. KH motifs can bind RNA in vitro . Autoantibodies to Nova, a KH domain protein, cause paraneoplastic opsoclonus ataxia	PF00013
Gamma interferon inducible lysosomal thiol reductase (GILT). This family includes the two characterized human gamma-interferon-inducible lysosomal thiol reductase (GILT) sequences. It also contains several other eukaryotic putative proteins with similari	PF03227
Serotonin (5-HT) neurotransmitter transporter, N-terminus	PF03491
Inner centromere protein, ARK binding region. This region of the inner centromere protein has been found to be necessary and sufficient for binding to aurora-related kinase. This interaction has been implicated in the coordination of chromosome segregati	PF03941
Adrenomedullin	PF02039
Glycosyl hydrolase family 85. Family of endo-beta-N-acetylglucosaminidases. These enzymes work on a broad spectrum of substrates	PF03644
Beta-ketoacyl synthase, C-terminal domain. The structure of beta-ketoacyl synthase is similar to that of the thiolase family (pfam00108) and also chalcone sythase. The active site of beta-ketoacyl synthase is located between the N and C-terminal domains	PF02801
1	PF02364
Domain of unknown function. This putative domain is found in members of the Dicer protein family. This protein is a dsRNA nuclease that is involved in RNAi and related processes. This domain of about 100 amino acids has no known function, but does contain	PF03368
FGGY family of carbohydrate kinases, C-terminal domain. This domain adopts a ribonuclease H-like fold and is structurally related to the N-terminal domain	PF02782
Pyridine nucleotide-disulphide oxidoreductase, dimerisation domain. This family includes both class I and class II oxidoreductases and also NADH oxidases and peroxidases	PF02852
Transposase family tnp2	PF02992
UvrD/REP helicase. The Rep family helicases are composed of four structural domains. The Rep family function as dimers. REP helicases catalyse ATP dependent unwinding of double stranded DNA to single stranded DNA. Some members have large insertions near	PF00580
CAP protein	PF01213
Glycosyl transferase. Diverse family, transferring sugar from UDP-glucose, UDP-N-acetyl- galactosamine, GDP-mannose or CDP-abequose, to a range of substrates including cellulose, dolichol phosphate and teichoic acids	PF00535
