(S)-2-hydroxy-acid oxidase	SF000138
1,4-alpha-glucan branching enzyme	SF000463
1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase I	SF000956
1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase II	SF000952
1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase delta-1	SF000950
1-phosphatidylinositol-4-phosphate 5-kinase	SF000679
11beta-hydroxysteroid dehydrogenase	SF000126
14-3-3 protein	SF000868
2',3'-cyclic-nucleotide 3'-phosphodiesterase	SF000970
3',5'-cyclic-GMP phosphodiesterase 5A	SF000967
3',5'-cyclic-GMP phosphodiesterase alpha chain	SF000968
3',5'-cyclic-GMP phosphodiesterase gamma chain	SF000969
3',5'-cyclic-nucleotide phosphodiesterase 1B, calmodulin-dependent	SF000960
3',5'-cyclic-nucleotide phosphodiesterase 8A, high affinity cAMP-specific	SF000963
3',5'-cyclic-nucleotide phosphodiesterase, cGMP-stimulated	SF000961
3-demethylubiquinone-9 3-O-methyltransferase	SF000393
3-hydroxyacyl-CoA dehydrogenase	SF000105
3-hydroxyisobutyrate dehydrogenase	SF000103
3-isopropylmalate dehydrogenase	SF000115
3beta-hydroxy-Delta5-steroid dehydrogenase	SF000123
4-aminobutyrate transaminase	SF000521
4-chlorobenzoate-CoA dehalogenase 30K chain	SF001331
5'-methylthioadenosine phosphorylase	SF006370
5'-nucleotidase	SF000902
5-aminolevulinate synthase	SF000444
6-phosphofructo-2-kinase / fructose-2,6-bisphosphate 2-phosphatase	SF000709
ADP,ATP carrier protein	SF002458
ADP-ribosyl cyclase CD38	SF005736
ADP-ribosylation factor	SF001711
AIDS trans-regulatory splicing protein	SF003865
AIDS vif protein	SF003853
AMP deaminase	SF001251
AMP-activated protein kinase	SF000590
ATP receptor P2u	SF005445
ATP-dependent 26S proteinase	SF001171
ATP-dependent RNA helicase DBP1	SF001321
ATP-dependent RNA helicase DHH1	SF001323
ATP-dependent serine proteinase La	SF001174
ATP-gated ion channel P2X4 receptor	SF005713
ATPase inhibitor, mitochondrial	SF001663
AU-specific RNA-binding protein AUH	SF001407
Agrobacterium beta-glucosidase	SF001079
Alzheimer's disease amyloid beta protein	SF002381
Arabidopsis glycine-rich protein 3	SF002682
Arabidopsis thaliana beta-tubulin cofactor-like protein	SF016991
Arabidopsis thaliana hypothetical protein F14P22.170	SF017044
Arabidopsis thaliana hypothetical protein F24G16.220	SF016995
Archaeoglobus fulgidus probable erpK protein	SF004811
Archaeoglobus probable dCMP deaminase	SF006019
B-cell CLL/lymphoma 5 protein	SF029249
B-cell activation protein BL34	SF005770
B-cell surface antigen CD20	SF001995
B-cell surface glycoprotein blast-1	SF001973
B-lymphocyte restricted antigen B7	SF005741
B7-2 antigen	SF001967
BKBP-type peptidylprolyl isomerase	SF001468
BRcore-Z protein	SF029264
Bloom's syndrome helicase	SF001324
C-reactive protein	SF002473
C1-tetrahydrofolate synthase	SF001576
C4b-binding protein alpha chain	SF002485
CARS cyclophilin	SF005103
CAT3 protein	SF003324
CCAAT/enhancer-binding protein alpha	SF005879
CD27 antigen	SF001966
CD40 receptor-associated protein CAP-1	SF015614
CD9 antigen	SF002419
CDPdiacylglycerol-inositol 3-phosphatidyltransferase	SF000848
CHD-1 protein	SF001326
COX10 protein	SF001773
CTP synthase	SF001575
Ca2+/calmodulin-dependent protein kinase	SF000595
Ca2+/calmodulin-dependent protein kinase I	SF000593
Ca2+/calmodulin-dependent protein kinase II	SF000594
Caenorhabditis elegans 26S proteasome regulatory complex chain p44.5	SF006840
Caenorhabditis elegans F54F2.8 protein	SF016541
Caenorhabditis elegans K06H7.4 protein	SF005519
Caenorhabditis elegans ZK686.3 protein	SF005990
Caenorhabditis elegans ZK688.6 protein	SF016539
Caenorhabditis elegans hypothetical protein B0547.1	SF016373
Caenorhabditis elegans hypothetical protein C01G8.2	SF015974
Caenorhabditis elegans hypothetical protein C05D9.1	SF028863
Caenorhabditis elegans hypothetical protein C18E9.2	SF016415
Caenorhabditis elegans hypothetical protein C33A11.2	SF028899
Caenorhabditis elegans hypothetical protein C33H5.9	SF017418
Caenorhabditis elegans hypothetical protein C44B7.2	SF028911
Caenorhabditis elegans hypothetical protein C54H2.5	SF015972
Caenorhabditis elegans hypothetical protein D2089.5	SF016410
Caenorhabditis elegans hypothetical protein F08B4.6	SF015800
Caenorhabditis elegans hypothetical protein F08C6.3	SF008032
Caenorhabditis elegans hypothetical protein F13G3.4	SF015816
Caenorhabditis elegans hypothetical protein F14E5.2	SF016409
Caenorhabditis elegans hypothetical protein F21D5.1	SF016408
Caenorhabditis elegans hypothetical protein F23C8.4	SF017426
Caenorhabditis elegans hypothetical protein F30A10.3	SF028895
Caenorhabditis elegans hypothetical protein F54D5.11	SF016401
Caenorhabditis elegans hypothetical protein K01G5.6	SF028888
Caenorhabditis elegans hypothetical protein K08F4.3	SF016400
Caenorhabditis elegans hypothetical protein K11D12.2	SF016361
Caenorhabditis elegans hypothetical protein T01G9.2b	SF015809
Caenorhabditis elegans hypothetical protein T13F2.2	SF015990
Caenorhabditis elegans hypothetical protein T19H12.2	SF017414
Caenorhabditis elegans hypothetical protein T21C9.4	SF016393
Caenorhabditis elegans hypothetical protein T22D1.4	SF016360
Caenorhabditis elegans hypothetical protein T22D1.9	SF015965
Caenorhabditis elegans hypothetical protein T27F2.1	SF015989
Caenorhabditis elegans hypothetical protein W08F4.8	SF017420
Caenorhabditis elegans hypothetical protein Y116A8C.20	SF015790
Caenorhabditis elegans hypothetical protein Y17G7B.2b	SF016387
Caenorhabditis elegans hypothetical protein Y37A1B.5	SF015987
Caenorhabditis elegans hypothetical protein Y69E1A.5	SF015699
Caenorhabditis elegans hypothetical protein ZC395.10	SF015986
Caenorhabditis elegans hypothetical protein ZK1251.3	SF015596
Caenorhabditis elegans hypothetical protein ZK550.6	SF016380
Caenorhabditis elegans hypothetical protein ZK892.2	SF016378
Caenorhabditis transposon Tc1 hypothetical 32K protein	SF004623
D-amino-acid oxidase	SF000189
DNA excision repair cross-complementing protein ERCC3	SF003332
DNA excision repair protein XPAC	SF003331
DNA mismatch repair protein	SF005574
DNA mismatch repair protein MSH2	SF005813
DNA mismatch repair protein mutS	SF005814
DNA nucleotidylexotransferase	SF000817
DNA primase 50K chain	SF005538
DNA-directed DNA polymerase II	SF000798
DNA-directed DNA polymerase beta	SF000790
DNA-directed DNA polymerase gamma chain	SF005721
DNA-directed DNA polymerase, mitochondrial	SF000797
DNA-directed RNA polymerase 132K polypeptide	SF000765
DNA-directed RNA polymerase II chain RPB3	SF000749
DNA-directed RNA polymerase II chain RPB9	SF000780
DNA-directed RNA polymerase chain ABC10 alpha	SF006829
DNA-directed RNA polymerase chain L	SF005592
DNA-directed RNA polymerase chain RPB5	SF000747
DNA-directed RNA polymerase chain RPB8	SF000779
DNA-directed RNA polymerase chain RPO26	SF000778
DPR1 protein	SF003209
Drosophila 32K boundary element-associated factor	SF011842
Drosophila 576K microtubule-associated protein homolog	SF010336
Drosophila 85K protein l(1)zw10	SF011123
Drosophila G1 progression negative regulator Rux	SF011843
Drosophila ORD protein	SF011848
Drosophila Su(var)3-9 protein	SF009343
Drosophila adenylate cyclase	SF001446
Drosophila cornichon protein	SF009420
Drosophila developmental protein sina	SF028730
Drosophila follicle cell protein 3C-1	SF010281
Drosophila giant lens protein	SF009392
Drosophila grainy-head protein	SF003041
Drosophila heat shock transcription factor HSF	SF002598
Drosophila histidine decarboxylase	SF001344
Drosophila hypothetical 19.8K protein (hay region)	SF010307
Drosophila hypothetical 30K protein (DmRP140 5' region)	SF010306
Drosophila hypothetical protein 63B12.11	SF011124
Drosophila hypothetical protein 63B12.13	SF010013
Drosophila hypothetical protein EG_22E5.6	SF014261
Drosophila hypothetical protein EG_22E5.7	SF014262
Drosophila hypothetical protein EG_30B8.7	SF008678
Drosophila hypothetical protein EG_34F3.5	SF014263
Drosophila hypothetical protein EG_8D8.1	SF014264
Drosophila inscuteable protein	SF011846
Drosophila male-specific lethal-3 protein	SF003042
Drosophila maternal effect protein oskar	SF011847
Drosophila melanogaster hypothetical protein 115C2.8	SF029266
Drosophila melanogaster hypothetical protein 171D11.5	SF029267
Drosophila melanogaster hypothetical protein 80H7.11	SF029268
Drosophila melanogaster hypothetical protein 80H7.2	SF029269
Drosophila melanogaster protein Cs	SF015154
Drosophila membrane protein patched	SF004632
Drosophila multifunctional amino acid-tRNA ligase	SF001539
Drosophila myofibrillar protein flightin	SF009428
Drosophila neurotrophic receptor ror	SF000625
Drosophila ovarian tumor protein	SF004630
Drosophila protein oaf	SF010074
Drosophila protein-tyrosine kinase abl	SF000635
Drosophila purine synthesis multifunctional protein	SF001584
Drosophila receptor-type guanylate cyclase	SF001453
Drosophila secreted polypeptide spatzle	SF011849
Drosophila suppressor protein of zeste	SF005434
Drosophila swallow protein	SF011845
Drosophila terminus protein	SF011851
Drosophila transcription factor Adf-1	SF011852
Drosophila transcription factor Cf1a	SF002641
Drosophila transcription factor nubbin	SF002639
Drosophila transcription factor pdm2	SF002640
Drosophila transcription initiation factor IID	SF003045
Drosophila transposon 17.6 51K protein	SF004629
Drosophila tube protein	SF011853
Enterobacter ribonuclease	SF001016
Escherichia coli UDPglucose 4-epimerase	SF001459
Escherichia coli probable UDPglucose 4-epimerase	SF004948
Escherichia coli protein-L-isoaspartate(D-aspartate) O-methyltransferase type II	SF006610
Escherichia coli ribosomal protein L1	SF002155
Escherichia coli ribosomal protein L13	SF002181
Escherichia coli ribosomal protein L14	SF002182
Escherichia coli ribosomal protein L2	SF002158
Escherichia coli ribosomal protein L3	SF002157
Escherichia coli ribosomal protein L5	SF002161
Escherichia coli ribosomal protein L6	SF002162
Escherichia coli ribosomal protein S10	SF002128
Escherichia coli ribosomal protein S11	SF002131
Escherichia coli ribosomal protein S12	SF002133
Escherichia coli ribosomal protein S13	SF002134
Escherichia coli ribosomal protein S14	SF002137
Escherichia coli ribosomal protein S17	SF002141
Escherichia coli ribosomal protein S19	SF002144
Escherichia coli ribosomal protein S5	SF002120
Escherichia coli ribosomal protein S7	SF002122
Escherichia coli ribosomal protein S8	SF002126
Escherichia coli ribosomal protein S9	SF002127
Escherichia coli ybhL protein	SF004889
F-spondin	SF029248
Fc gamma receptor I	SF001981
Fc gamma receptor III	SF001980
G protein-activated potassium channel protein	SF005465
G protein-coupled receptor 4	SF005853
G protein-coupled receptor 43	SF006358
G protein-coupled receptor edg-1	SF005435
GMP reductase	SF000235
GPI-anchor biosynthesis protein PIG-A	SF002416
GTP cyclohydrolase I	SF001256
GTP-binding membrane protein lepA	SF003064
GTP-binding protein DRG	SF002402
GTP-binding regulatory protein Gs alpha chain	SF002400
GTP-binding regulatory protein beta chain	SF002399
GTP-binding regulatory protein gamma chain	SF002398
H+-transporting ATP synthase alpha chain	SF001274
H+-transporting ATP synthase chain d	SF005514
H+-transporting ATP synthase delta chain	SF001276
H+-transporting ATP synthase epsilon chain	SF001278
H+-transporting ATP synthase gamma chain	SF001280
H+-transporting ATP synthase lipid-binding protein	SF001282
H+-transporting ATP synthase protein 6	SF001283
H+-transporting ATP synthase protein 8	SF001285
H+-transporting ATPase chain E	SF005595
HIV-EP2 enhancer-binding protein	SF003876
Haemophilus influenzae ribose-5-phosphate isomerase	SF006575
HsC2 phosphatidylinositol 3-kinase	SF000588
IMP dehydrogenase	SF000130
IgE receptor II	SF002426
IgE-dependent histamine-releasing factor	SF001898
J chain	SF001971
KDEL receptor	SF002409
L-gulonolactone oxidase	SF000136
L-iduronidase	SF001096
L-lactate dehydrogenase	SF000102
L-selectin	SF002421
L71-10 protein	SF005605
LAR-interacting protein	SF022556
LDL receptor	SF001961
LIM protein kinase	SF000600
LR11 protein	SF025891
Ly-6 antigen	SF002021
MRC OX-2 antigen	SF001982
MSI1 protein	SF003348
Methanococcus jannaschii conserved hypothetical protein MJ0025	SF006559
Methanococcus jannaschii conserved hypothetical protein MJ0443	SF006515
Mus musculus GPI-linked receptor	SF015163
Mus musculus cytokine IGIF	SF015162
Mycobacterium tuberculosis probable fadD6 protein	SF006838
N-acetylgalactosaminyltransferase	SF000474
N-methyl-D-aspartate receptor 2A	SF002440
N-methyl-D-aspartate receptor 2C	SF002441
N-methyl-D-aspartate receptor 2D	SF002442
N4-(beta-N-acetylglucosaminyl)-L-asparaginase	SF001229
NAD(P)+ transhydrogenase (B-specific)	SF000205
NAD(P)+-arginine ADP-ribosyltransferase	SF005506
NAD(P)H dehydrogenase (quinone) 2	SF000221
NAD+ ADP-ribosyltransferase	SF000489
NADH dehydrogenase (ubiquinone) 49K protein	SF000230
NADH dehydrogenase (ubiquinone) CI-B8 chain	SF005822
NADH dehydrogenase (ubiquinone) I chain E	SF000216
