(S)-2-hydroxy-acid oxidase  superfamily	SA1627
(S)-2-hydroxy-acid oxidase homology	DA1114
1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase domain X homology	DA1570
1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase domain Y homology	DA1571
11beta-hydroxysteroid dehydrogenase	FA2130
14-3-3 protein	FA2001
2',3'-cyclic-nucleotide 3'-phosphodiesterase	FA1239
3',5'-cyclic-GMP phosphodiesterase alpha chain	FA1643
3',5'-cyclic-GMP phosphodiesterase gamma chain	FA1667
3',5'-cyclic-nucleotide phosphodiesterase 1B, calmodulin-dependent	FA4337
3',5'-cyclic-nucleotide phosphodiesterase homology	DA4333
3-hydroxyacyl-CoA dehydrogenase	FA2931
3-hydroxyacyl-CoA dehydrogenase  superfamily	SA2635
3-hydroxyacyl-CoA dehydrogenase homology	DA1094
3-hydroxyisobutyrate dehydrogenase homology	DA1170
3-oxoacyl-[acyl-carrier-protein] synthase I homology	DA1354
3beta-hydroxy-Delta5-steroid dehydrogenase	FA0518
3beta-hydroxy-Delta5-steroid dehydrogenase  superfamily	SA3134
5'-nucleotidase	FA3493
5'-nucleotidase  superfamily	SA3495
5'-nucleotidase homology	DA3494
5-aminolevulinate synthase	FA0382
5-aminolevulinate synthase  superfamily	SA2297
6-phosphofructo-2-kinase / fructose-2,6-bisphosphate 2-phosphatase	FA1679
ADP,ATP carrier protein	FA1645
ADP,ATP carrier protein repeat homology	DA1183
AIDS vif protein	FA0025
AMP deaminase	FA1822
AMP-activated protein kinase  superfamily	SA3518
ATPase inhibitor, mitochondrial  superfamily	SA2702
ATPase nucleotide-binding domain homology	DA3424
ATPase transduction domain homology	DA3420
Alzheimer's disease amyloid beta protein	FA1665
B-cell surface glycoprotein blast-1	FA1436
BKBP-type peptidylprolyl isomerase	FA3778
BKBP-type peptidylprolyl isomerase homology	DA2220
C-reactive protein	FA2504
C-type lectin homology	DA1172
C1-tetrahydrofolate synthase	FA2782
C1r/C1s repeat homology	DA1025
C4b-binding protein alpha chain	FA1687
CBS homology	DA4085
CD9 antigen	FA2591
CDC24 homology	DA2498
CDC25-type guanine nucleotide exchange activator homology	DA1190
CTP synthase  superfamily	SA0555
Ca2+/calmodulin-dependent protein kinase	FA1156
Ca2+/calmodulin-dependent protein kinase II	FA3198
D-amino-acid oxidase	FA1705
DNA excision repair cross-complementing protein ERCC3	FA4346
DNA excision repair protein XPAC  superfamily	SA1989
DNA nucleotidylexotransferase	FA1630
DNA-directed DNA polymerase II  superfamily	SA3713
DNA-directed RNA polymerase II chain RPB9  superfamily	SA2968
DNA-directed RNA polymerase chain RPO26	FA1704
DNA-directed RNA polymerase chain RPO26  superfamily	SA3271
EGF homology - Type A	DA0704
EGF homology - Type B	DA0705
Escherichia coli ribosomal protein L3  superfamily	SA3179
Escherichia coli ribosomal protein L5	FA2563
Escherichia coli ribosomal protein S10	FA2649
Escherichia coli ribosomal protein S11	FA0334
Escherichia coli ribosomal protein S12	FA2658
Escherichia coli ribosomal protein S13	FA2266
Escherichia coli ribosomal protein S14	FA2645
Escherichia coli ribosomal protein S17	FA2548
Escherichia coli ribosomal protein S19	FA0858
Escherichia coli ribosomal protein S5	FA2657
Escherichia coli ribosomal protein S7	FA2654
Escherichia coli ribosomal protein S8	FA2662
Escherichia coli ribosomal protein S9	FA0325
FtsH/SEC18/CDC48-type ATP-binding domain homology	DA1625
GATA-type zinc finger homology	DA2296
GLGF domain homology	DA2144
GPI-anchor biosynthesis protein PIG-A  superfamily	SA3434
GTP cyclohydrolase I  superfamily	SA1493
GTP-binding protein DRG	FA3786
GTP-binding regulatory protein Gs alpha chain	FA1265
GTP-binding regulatory protein Gs alpha chain  superfamily	SA0608
GTP-binding regulatory protein beta chain	FA2727
GTP-binding regulatory protein beta chain  superfamily	SA0609
GTP-binding regulatory protein gamma chain	FA2666
GTP-binding regulatory protein gamma chain  superfamily	SA0610
Gla domain homology	DA2143
H+-transporting ATP synthase alpha chain	FA0835
H+-transporting ATP synthase epsilon chain	FA2951
H+-transporting ATP synthase gamma chain	FA2952
H+-transporting ATP synthase protein 6	FA2955
H+-transporting ATP synthase protein 8	FA0298
HMG box homology	DA1047
HSF DNA-binding domain homology	DA1206
IMP dehydrogenase	FA1634
IMP dehydrogenase  superfamily	SA1661
IMP dehydrogenase amino-terminal homology	DA4321
IMP dehydrogenase catalytic homology	DA4320
IgE receptor II	FA1717
IgE-dependent histamine-releasing factor	FA2350
IgE-dependent histamine-releasing factor  superfamily	SA1609
J chain	FA1680
Kazal proteinase inhibitor homology	DA1051
L-iduronidase	FA1636
L-lactate dehydrogenase	FA0974
L-selectin	FA1362
LDL receptor	FA1691
LDL receptor YWTD-containing repeat homology	DA1085
LDL receptor ligand-binding repeat homology	DA1054
LIM metal-binding repeat homology	DA1120
LIM protein kinase	FA3250
Ly-6 antigen	FA1365
Ly-6 antigen  superfamily	SA2796
Ly-6 homology	DA2298
MAM homology	DA1472
MAP2/tau repeat homology	DA1056
MCM homology	DA4338
N-methyl-D-aspartate receptor 2A	FA1789
N-methyl-D-aspartate receptor 2D	FA2497
NAD(P)+ transhydrogenase (B-specific) alpha chain homology	DA1554
NAD(P)+ transhydrogenase (B-specific) beta chain homology	DA1513
NAD+ ADP-ribosyltransferase	FA2779
NAD+ ADP-ribosyltransferase  superfamily	SA1756
NADH dehydrogenase (ubiquinone) I chain E homology	DA4301
NADH dehydrogenase (ubiquinone) I chain F homology	DA4297
NADH dehydrogenase (ubiquinone) chain 1	FA0313
NADH dehydrogenase (ubiquinone) chain 2	FA2018
NADH dehydrogenase (ubiquinone) chain 3	FA0315
NADH dehydrogenase (ubiquinone) chain 4	FA0085
NADH dehydrogenase (ubiquinone) chain 4L	FA0316
NADH dehydrogenase (ubiquinone) chain 5	FA0086
NADH dehydrogenase (ubiquinone) chain 6	FA0078
NADH dehydrogenase (ubiquinone) chain F	FA4298
NADPH--ferrihemoprotein reductase	FA1631
NADPH--ferrihemoprotein reductase  superfamily	SA3181
NADPH--ferrihemoprotein reductase homology	DA3139
NGF receptor repeat homology	DA0933
Na+/K+-transporting ATPase alpha chain	FA2953
Na+/K+-transporting ATPase beta chain	FA0301
POU domain homology	DA1062
POZ domain homology	DA1212
RING finger homology	DA3739
RNA-binding protein EWS  superfamily	SA2139
S-100 protein	FA2484
S-100 protein  superfamily	SA1618
SAM homology	DA3740
SH2 homology	DA1069
SH3 homology	DA1070
SH3 homology - set 2	DA1574
T-box homology	DA2153
T-cell surface glycoprotein CD2	FA1809
T-cell surface glycoprotein CD28	FA1807
T-cell surface glycoprotein CD3 delta chain	FA0574
T-cell surface glycoprotein CD4	FA1007
T-cell surface glycoprotein CD8 beta chain	FA1364
TEA DNA-binding domain homology	DA1215
UDPglucose--hexose-1-phosphate uridylyltransferase	FA1826
UTP--glucose-1-phosphate uridylyltransferase  superfamily	SA3300
VH1-type dual specificity phosphoprotein phosphatase homology	DA1151
WD repeat homology	DA3289
WW repeat homology	DA3294
Y box-binding protein 1	FA3437
Y box-binding protein 1  superfamily	SA3438
ZP domain homology	DA1506
[acyl-carrier-protein] S-malonyltransferase homology	DA1298
acetyl-CoA acetyltransferase	FA2163
acetylcholine receptor	FA2476
acid sphingomyelinase	FA1747
acrosin	FA1367
actin	FA0722
actin-capping protein beta chain	FA2140
actin-capping protein beta chain  superfamily	SA1368
activin receptor II	FA1729
acyl carrier protein homology	DA1299
acyl-CoA dehydrogenase	FA1780
acyl-CoA dehydrogenase  superfamily	SA3200
acyl-CoA oxidase	FA1980
acylaminoacyl-peptidase	FA1041
acylphosphatase	FA0307
adenine phosphoribosyltransferase  superfamily	SA1811
adenosine deaminase  superfamily	SA1781
adenosylhomocysteinase	FA1464
adenylate kinase	FA2384
adenylosuccinate synthase	FA1758
adipokinetic hormone  superfamily	SA0718
aggrecan	FA2692
alcohol dehydrogenase	FA1988
alcohol dehydrogenase  superfamily	SA2176
alcohol oxidase  superfamily	SA2947
aldehyde dehydrogenase	FA2588
aldehyde dehydrogenase (NAD+)  superfamily	SA2590
aldehyde dehydrogenase homology	DA2689
aldehyde reductase	FA1771
aldehyde reductase  superfamily	SA3412
alkaline phosphatase  superfamily	SA1559
alkyl hydroperoxidase c22 protein homology	DA1234
alpha-1,3-mannosyl-glycoprotein beta-1,2-N-acetylglucosaminyltransferase	FA1828
alpha-2-HS-glycoprotein	FA2687
alpha-2-macroglobulin	FA1860
alpha-L-fucosidase  superfamily	SA2866
alpha-actinin	FA1327
alpha-actinin  superfamily	SA1294
alpha-actinin actin-binding domain homology	DA1134
alpha-crystallin	FA2527
alpha-galactosidase	FA2415
alpha-galactosidase  superfamily	SA3142
alpha-s2-casein	FA1795
alpha-s2-casein  superfamily	SA3092
amino acid--tRNA ligase repeat homology	DA1219
amphiregulin	FA1792
amyloid protein	FA0502
animal Kunitz-type proteinase inhibitor homology	DA1053
animal histidine decarboxylase homology	DA4304
animal sulfatase	FA2398
animal sulfatase  superfamily	SA1721
ankyrin	FA2680
ankyrin repeat homology	DA1466
annexin I	FA1309
annexin I  superfamily	SA0571
annexin VI	FA1764
annexin repeat homology	DA0711
antileukoproteinase  superfamily	SA1740
antileukoproteinase repeat homology	DA1022
antithrombin III	FA2267
apolipoprotein A-I	FA2613
apolipoprotein H	FA0995
arachidonate 5-lipoxygenase	FA2734
arachidonate 5-lipoxygenase  superfamily	SA2677
arginine--tRNA ligase  superfamily	SA1821
argininosuccinate lyase	FA0688
argininosuccinate synthase	FA2173
argininosuccinate synthase  superfamily	SA0512
aromatic-L-amino-acid decarboxylase	FA0517
asparagine synthase	FA0017
asparagine synthase (glutamine-hydrolyzing)  superfamily	SA3120
aspartate aminotransferase	FA0499
aspartate/ornithine carbamoyltransferase homology	DA1124
astacin homology	DA1087
band 3 anion transport protein	FA2486
basic fibroblast growth factor receptor 1	FA1349
bcl transforming protein	FA0409
beta-adaptin	FA1377
beta-adrenergic-receptor kinase	FA3205
beta-casein	FA2182
beta-crystallin	FA0065
beta-galactoside alpha-2,3-sialyltransferase	FA3815
beta-galactoside-binding lectin	FA0968
beta-hexosaminidase	FA1855
beta-thromboglobulin	FA2682
biotin carboxylase homology	DA3124
black beetle virus coat protein	FA0434
bromodomain homology	DA1209
brush border myosin heavy chain I	FA2455
cAMP receptor protein cyclic nucleotide-binding domain homology	DA1096
cAMP response element-binding protein 1	FA1378
cAMP-dependent protein kinase inhibitor	FA1974
cAMP-dependent protein kinase regulatory chain	FA1315
cGMP-dependent protein kinase  superfamily	SA2873
cadherin	FA2593
cadherin  superfamily	SA3690
cadherin repeat homology - 5 proteins	DA1651
calcineurin catalytic chain	FA3699
calcitonin	FA0385
calcium channel alpha-2 chain	FA2502
caldesmon	FA1335
calmodulin	FA0727
calmodulin repeat homology	DA0703
calmodulin repeat homology - selected molecules with X-ray structure	DA1606
calmodulins	FA0567
calpain catalytic domain homology	DA1026
calpain large chain	FA2785
calpain large chain  superfamily	SA1498
calpain small chain	FA0056
calponin	FA1612
calponin repeat homology	DA1589
calreticulin  superfamily	SA1491
calretinin	FA0193
calsequestrin	FA4332
carbamoyl-phosphate synthase (ammonia) homology	DA1507
carbamoyl-phosphate synthase (glutamine-hydrolyzing) large chain homology	DA1104
carbamoyl-phosphate synthase (glutamine-hydrolyzing) small chain homology	DA1544
carbonate dehydratase	FA0059
carbonate dehydratase  superfamily	SA1510
carbonic anhydrase homology	DA2135
carboxypeptidase	FA2791
carboxypeptidase  superfamily	SA1865
carcinoembryonic antigen precursor amino-terminal homology	DA1515
catalase	FA0060
cdc25-type protein-tyrosine-phosphatase homology	DA2752
cecropin	FA0728
cell division control protein CKS1  superfamily	SA3102
cell surface glycoprotein CD11b	FA2669
cellular retinaldehyde-binding protein  superfamily	SA1137
cellular retinaldehyde-binding protein homology	DA1157
cellular tumor antigen p53	FA2330
cellular tumor antigen p53  superfamily	SA2300
chaperonin groEL	FA0774
choline-phosphate cytidylyltransferase  superfamily	SA3608
cholinesterase	FA2175
cholinesterase  superfamily	SA3118
cholinesterase homology	DA1028
chorion protein S16	FA1386
chromobox homology	DA1203
chromogranin A	FA1833
chromogranin B precursor	FA1863
ciliary neurotrophic factor	FA0589
ciliary neurotrophic factor receptor	FA1846
ciliary neurotrophic factor receptor  superfamily	SA3523
class I histocompatibility antigen	FA0776
class II histocompatibility antigen	FA0148
clathrin heavy chain	FA2615
clathrin light chain	FA2614
clusterin	FA1765
coagulation factor VIII	FA2857
coagulation factor X	FA1941
coagulation factor XI	FA0797
coagulation factor XII	FA2940
coagulation factor XII  superfamily	SA3093
cofilin	FA1223
cold shock domain homology	DA1090
colipase	FA0498
collagen alpha 1(I) chain	FA1607
collagen alpha 1(IV) chain	FA0972
collagen alpha 1(IV) chain  superfamily	SA1743
collagen alpha 1(V) chain	FA1748
collagen alpha 1(VI) chain	FA2499
collagen alpha 1(VI) chain  superfamily	SA1752
