	TCGA-13-0758-01A-01R-0363-07	TCGA-13-0723-01A-02R-0363-07	TCGA-09-0364-01A-02R-0363-07	TCGA-13-0727-01A-01R-0363-07	TCGA-09-0365-01A-02R-0363-07	TCGA-13-0805-01A-01R-0363-07	TCGA-01-0631-11A-01R-0363-07	TCGA-13-0768-01A-01R-0363-07	TCGA-13-0800-01A-01R-0363-07	TCGA-13-0791-01A-01R-0363-07	TCGA-13-0804-01A-01R-0363-07	TCGA-13-0762-01A-01R-0363-07	TCGA-13-0803-01A-01R-0363-07	TCGA-13-0757-01A-01R-0363-07	TCGA-13-0725-01A-01R-0363-07	TCGA-13-0730-01A-01R-0363-07	TCGA-01-0637-11A-01R-0363-07	TCGA-13-0794-01A-01R-0363-07	TCGA-13-0795-01A-01R-0363-07	TCGA-13-0792-01A-01R-0363-07	TCGA-01-0636-11A-01R-0363-07	TCGA-13-0764-01A-03R-0363-07	TCGA-13-0793-01A-01R-0363-07	TCGA-09-0369-01A-01R-0363-07	TCGA-07-0249-20A-01R-0363-07	TCGA-09-0367-01A-01R-0363-07	TCGA-13-0802-01A-01R-0363-07	TCGA-13-0760-01A-01R-0363-07	TCGA-01-0633-11A-01R-0363-07	TCGA-13-0724-01A-01R-0363-07	TCGA-13-0726-01A-01R-0363-07	TCGA-13-0717-01A-01R-0363-07	TCGA-13-0801-01A-01R-0363-07	TCGA-09-0366-01A-01R-0363-07	TCGA-13-0714-01A-01R-0363-07	TCGA-13-0761-01A-01R-0363-07	TCGA-01-0638-11A-02R-0363-07	TCGA-01-0630-11A-01R-0363-07
ELMO2	-0.0438125	0.0853125	-0.024	0.652875	-0.170625	0.0264375	0.00818750000000001	-0.2280625	0.269875	-0.1714375	-0.31875	0.18225	-0.1409375	0.34075	0.012625	0.85875	0.0216875	0.719375	-0.19775	-0.149	0.09375	-0.0240625	-0.3191875	-0.00131249999999999	0.3856875	0.1259375	-0.137875	-0.227875	-0.0953125	-0.1675	-0.058125	0.2503125	-0.139375	0.0320625	0.027625	-0.1080625	-0.3354375	0.092
CREB3L1	0.0191666666666667	0.116833333333333	0.158333333333333	0.527666666666667	0.00549999999999999	0.688333333333333	0.147333333333333	0.991333333333333	0.171333333333333	0.4015	-0.569833333333333	0.394333333333333	0.9735	0.243166666666667	0.316666666666667	0.530333333333333	-0.00416666666666665	-0.26	0.478166666666667	0.214166666666667	-0.167	0.031	1.71083333333333	0.6265	1.41116666666667	-0.542833333333333	0.279	-0.115666666666667	0.0235	0.348	0.4435	0.036	0.392166666666667	-0.7455	1.01	0.3765	2.058	0.4695
RPS11	0.6835	0.00070000000000001	1.2025	1.3998	0.8485	0.9865	0.7915	-0.1375	0.2691	1.0541	0.3768	0.0979	1.5694	1.0876	0.1502	0.195	0.6076	1.0599	0.916	1.0619	0.9374	0.6081	1.102	0.6141	-1.0518	1.4367	1.0244	0.189	1.2695	1.059	-0.5188	1.559	0.9779	-0.8238	0.989	0.4966	0.8656	0.9656
PNMA1	-0.344	0.2138	1.8598	1.037	0.6384	0.1732	0.896	0.7016	1.496	-0.3774	-0.0548	2.4832	0.3572	-0.2632	1.06	0.4312	0.9512	0.6682	-0.5794	-0.2522	1.0804	0.7214	1.2726	1.1264	1.4256	0.027	1.119	-0.356	0.8314	0.515	-0.4812	0.3362	-0.324	0.5228	0.4042	0.4342	-0.709	0.8154
MMP2	-0.50775	-1.17425	-1.358625	-1.010125	-0.82	-0.0735	-0.04525	0.95025	-1.3395	-1.439125	-1.157125	-0.58625	-0.946375	0.161125	-0.53875	-0.1545	0.43125	-1.62025	-0.812	-1.492125	-0.92975	-1.24175	-0.00750000000000003	-0.318	2.573625	-1.505	-0.593375	-1.241625	-0.423	-0.345	-0.31075	-1.226875	-1.3295	-1.043625	0.1125	-0.39225	-0.10325	-0.969125
C10orf90	-1.8564	-2.0294	-1.9776	-1.7096	-2.0226	-1.8434	-1.9418	-1.8422	-1.764	-1.3868	-1.7808	-1.6968	-1.4672	-1.8476	-2.1074	-1.3372	-1.9702	-1.9136	-1.7126	-1.5724	-2.0212	-1.9492	-1.3442	-2.142	3.1354	-1.9174	-1.8666	-1.8982	-1.9832	-1.8742	-1.8632	-2.0088	-1.5722	-2.0164	-1.6948	-1.6154	-1.4224	-1.8872
ZHX3	-0.124375	-0.637	-0.969875	-0.260125	-0.543	-0.17	-0.948375	0.212875	-0.457375	-0.62475	-0.16675	-0.229875	0.086125	0.04725	-0.49975	0.3515	-1.297125	-0.359125	0.155	-1.10425	-0.539875	-1.41125	-0.145	-0.504875	0.771875	-0.707875	-0.996125	-0.3485	-0.45375	-0.38825	-0.795125	0.039875	-0.8925	-1.1335	-0.557875	-0.847125	-0.149875	-0.584
ERCC5	-0.2112	0.1636	1.3554	0.5566	0.3158	-0.1106	0.00220000000000001	0.4212	-0.3626	-0.0448	0.1716	0.391	1.3524	-0.205	-0.1952	0.6024	0.438	0.1128	0.146	-1.2252	0.478	-0.4112	0.3008	-0.0748	1.1276	0.2684	0.5402	0.483	0.3404	0.3164	0.4882	-0.345	0.0602	-0.0422	0.632	0.4084	0.1238	0.3528
GPR98	-1.27872727272727	-1.5365	-1.1735	-1.46254545454545	-0.8997	-2.048	-1.4955	-2.1153	-1.27383333333333	-1.16881818181818	-0.695181818181818	-0.4163	-1.54254545454545	-0.4055	-1.28572727272727	-0.383916666666667	-1.69981818181818	-0.966818181818182	-1.28008333333333	-1.42955555555556	-1.38241666666667	-2.13658333333333	-1.248	-0.0383	-1.9402	-1.72127272727273	-0.693	-1.81772727272727	-1.9728	-1.71954545454545	-1.25475	-0.049909090909091	-1.68375	-1.54827272727273	-0.830666666666667	-1.69209090909091	-1.52454545454545	-1.63109090909091
RXFP3	0.033	0.16	0.288666666666667	0.203333333333333	-0.0103333333333333	0.496666666666667	-0.0686666666666667	0.148	0.06	0.732	0.195666666666667	0.279666666666667	0.725666666666667	0.414	-0.271666666666667	0.0433333333333333	0.138666666666667	0.175	0.498	0.085	0.141333333333333	0.422	0.839666666666667	-0.0373333333333333	0.123666666666667	0.307666666666667	0.172333333333333	0.0646666666666667	0.350333333333333	0.305	0.26	0.193	0.104333333333333	-0.250333333333333	0.503333333333333	0.366	0.596	0.275
APBB2	-0.0408	-0.568	0.3592	-1.3444	0.9304	-0.4094	-0.7934	0.654	0.2634	-0.1772	0.6462	0.6972	-0.0066	0.4302	0.9266	1.9532	-1.5492	-0.8482	0.6446	-0.5062	-0.8588	-0.0608	-0.5168	1.3324	0.5494	0.307	0.779	-0.321	-0.289	0.876	-0.4016	-0.3656	-2.4268	-0.407	0.8572	-0.366	-0.1502	-1.2246
PRO0478	-0.667454545454545	-0.425181818181818	-0.803	-0.269636363636364	-0.109545454545455	-0.994818181818182	-0.887545454545455	0.163	-0.875363636363636	-0.734181818181818	0.0697272727272727	0.355090909090909	-0.00254545454545451	-0.981636363636364	-0.354	-0.259454545454545	-0.815545454545455	-0.771272727272727	-0.341818181818182	-1.02572727272727	-0.426909090909091	-0.724636363636364	-0.138363636363636	-0.698909090909091	-1.45227272727273	-1.489	-1.30718181818182	-0.654636363636364	-0.435727272727273	0.212909090909091	-0.0573636363636364	-0.306181818181818	-1.24745454545455	-0.113727272727273	-0.460636363636364	-1.19690909090909	-0.334545454545455	-0.664818181818182
KLHL13	-1.9438	-1.3204	-1.4982	-3.1118	-1.8204	-3.1786	0.6816	-1.298	-1.5112	-1.3728	-3.6732	-2.8848	-3.0768	-1.2432	-2.142	0.743	-0.351	-3.3692	-3.4066	-2.6212	0.8814	-3.4722	-3.1312	-0.5808	0.624	-0.032	-1.3968	-3.555	0.188	-2.8192	-2.6796	-3.4414	-2.616	0.4094	-3.254	-1.5972	-1.2738	0.3632
PRSSL1	-0.6965	-0.4485	-0.589375	-0.30475	-0.467	0.8365	0.09375	-0.304375	-0.57575	0.08325	0.83375	-0.540625	-0.278	0.275	-0.837125	-0.91025	-0.31	-0.190875	-0.0708750000000001	0.043875	1.168125	-0.150875	-0.0873749999999999	-0.7295	-0.390625	-0.20425	-0.68375	-0.12575	0.335125	-0.507	-0.172	-0.593625	0.0925	-0.768	-0.0211250000000001	-0.520875	-0.130375	0.869625
