Gene	YEW1_Control	YEW2_Control	YEW3_Control	YEW4_Treated	YEW5_Treated	YEW6_Treated
LAPTM4B	0	0	0	0	0	0
ECHS1	47	22	37	56	31	24
ADH5P2	0	0	0	0	0	0
MMGT1	0	0	0	0	0	0
AL031601.4	0	0	0	0	0	0
KRT18P27	0	0	0	0	3	0
RP11-482M8.1	0	0	0	0	0	0
AL139396.1	0	0	0	0	0	0
RP11-755O11.2	0	0	0	0	0	0
TRIM51FP	0	0	0	0	0	0
UNCX	9	0	0	0	1	4
OR2AG1	0	0	0	0	0	0
AL353751.1	0	0	0	0	0	0
AC011841.4	0	0	0	0	1	0
CTD-2532D12.5	3	0	4	3	6	2
FAM117B	0	0	0	0	0	0
RNU6-981P	0	0	0	0	0	0
HTR7P1	4	6	2	2	5	4
KCNG3	0	0	0	0	0	0
PWWP2AP1	1	1	0	0	0	0
PSTPIP1	0	0	0	0	0	0
TIMM23	0	0	0	0	0	0
CTD-2281E23.3	0	0	0	0	0	0
KLRC1	0	0	0	0	0	0
SPRY4	0	0	0	0	0	0
RP11-700F16.3	0	0	0	0	0	0
UBOX5	0	0	0	0	0	0
RBPMS2	0	0	0	0	0	0
FAM206BP	0	0	0	0	0	0
AMBP	5	0	0	0	0	1
RP5-930J4.5	0	0	0	0	0	0
RN7SL99P	0	0	0	1	0	0
UBQLN4P1	0	0	0	0	0	0
RP11-5A19.5	0	0	0	0	0	0
AC000123.4	9	5	8	3	8	13
TFAMP1	2853	3177	2863	3870	3305	3540
HNRNPUL2	481	447	380	596	640	549
KRT18P19	12	13	12	33	12	16
OR2L8	0	0	0	1	1	0
MAP1A	23044	22893	19329	27195	23712	26334
OR7E39P	14	27	5	18	16	9
RP11-561B11.3	0	0	0	0	0	0
USP17L11	0	0	0	0	0	0
ARHGEF11	7	8	2	0	0	0
SMARCC2	26	28	20	20	22	18
TP53BP2	4	6	4	3	5	7
RP11-67M1.1	0	0	0	0	0	0
APOL5	0	0	0	0	0	0
RNU7-26P	0	0	0	0	0	0
CACNA1S	20	8	24	24	5	14
PARD3	33	15	27	23	22	30
RP11-304L19.11	13	2	8	2	15	0
AC079199.2	2	0	2	0	3	0
RP11-10G12.2	0	0	0	0	0	0
LINC01105	3	2	2	6	8	3
RIPK1	20	16	19	34	20	23
IGKV1-39	455	505	441	641	516	555
RP11-326K13.4	0	0	0	0	0	0
AP000911.1	0	0	0	0	0	0
AQP7P3	0	0	0	0	0	0
RP11-69C17.4	3	3	6	14	11	0
RP11-639F1.2	65	39	50	60	65	55
SH2D1A	4	1	4	2	2	0
YJEFN3	115	65	76	79	77	91
TRAJ42	72	45	49	66	49	50
LINC00341	1	0	1	0	0	0
RP11-7N14.1	7500	6278	5987	6885	6416	6191
MIR150	1052	929	891	982	880	863
CR774188.1	519	384	370	501	472	359
SYNRG	136	109	110	107	111	102
RAB11FIP2	49	12	24	21	37	11
AL355531.1	795	592	589	682	645	647
NDNL2	0	5	4	3	1	8
CCL24	1	3	0	1	7	9
CLIC3	457	365	387	563	414	569
CTB-5E10.3	26977	21472	20793	31548	26628	25019
AC003973.1	0	0	0	0	0	0
UBXN2A	374	328	283	294	305	300
ESYT2	37	35	11	39	31	18
RP11-710F7.3	0	4	0	5	8	0
CADM4	1118	888	877	1118	851	910
YPEL2	0	0	0	0	0	0
RP11-38J22.6	0	0	0	0	0	0
RP11-1084A12.1	0	0	0	0	0	0
RP11-247I13.8	0	0	0	0	0	0
KATNBL1P4	0	0	0	0	0	0
RP1-223E5.4	0	0	0	0	0	0
RP11-141M3.5	0	0	0	0	0	0
SLIT2	0	0	0	0	0	0
RP11-115P21.1	0	1	0	2	4	0
OR10G7	9390	8113	7791	11522	10358	10069
RNU6-1038P	1956	1949	1819	2335	2099	2033
ARID1A	75	60	60	64	63	67
AC009413.2	23	38	25	44	24	27
AP000445.2	4771	4661	4173	5025	4570	4539
NFIX	18	10	5	11	8	16
RNU7-108P	155	99	107	134	112	105
RP11-8L8.2	3845	3282	3107	3875	3426	3215
RP11-93B14.5	847	778	746	864	726	750
PRUNE2	4511	4105	3662	4494	4179	3959
TRIM60P9Y	157	127	111	130	157	132
ACE3P	1357	1198	1102	1746	1425	1529
RP11-789C2.1	20	21	32	23	30	8
AC098650.1	10298	8822	8845	9124	7510	7684
OR4A4P	12233	10034	9698	12546	10952	10861
OR4F28P	6057	5371	5053	5930	5105	4957
RP11-259G18.1	0	0	1	0	0	0
AKAP2	9141	8645	7808	10057	9858	9039
LINC00467	1104	944	849	1058	1073	883
TRNAU1AP	3759	3250	2899	3405	3326	3392
HNRNPA1P14	0	0	0	0	0	0
RP11-439L8.4	83	82	79	107	127	65
TMEM72	0	0	0	0	0	0
RPS27P16	0	0	0	0	0	0
AC245389.1	0	0	0	0	0	0
RP11-26M5.3	0	0	0	0	0	0
HNRNPA1P2	0	0	0	0	1	0
RP11-545P6.2	0	1	0	0	2	0
RP11-367G6.3	3007	2683	2484	2758	2572	2347
RFPL3S	3759	3351	3266	3540	3049	3235
RP11-69H7.3	35	42	45	47	55	42
RP11-356J5.4	5899	5785	5107	6218	5710	5428
IGHV3OR16-12	0	0	0	0	0	0
MUC15	9	2	10	13	16	10
PANX2	0	0	0	0	0	0
RNU1-49P	157	104	114	55	55	56
AC092660.1	163	123	91	162	124	130
RP11-70F11.8	1413	1203	1181	1904	1467	1579
RPL9P16	7	1	0	0	0	0
RPL29P30	1591	1308	1203	1518	1450	1265
RN7SL777P	0	0	0	4	0	0
PPA2	3084	2699	2293	2978	2576	2568
CDKL1	76	70	59	32	46	37
PERP	21	24	7	24	36	12
RP11-525J21.1	0	0	0	0	0	0
RP11-778D9.12	140	123	99	135	113	98
MRPS18A	119	111	87	111	110	105
RP1-13D10.3	176	132	111	155	100	140
TP53TG5	113	84	80	88	122	60
SNRPGP1	3762	3480	2946	3925	3499	3434
RBM19	36373	34678	32086	42455	38520	38987
CREBRF	2	3	8	7	7	16
IGHEP2	0	0	3	11	8	1
RNU6-758P	3	5	6	6	4	2
RP11-659P15.2	0	0	0	0	6	0
