Hybridization REF	TCGA-AA-3841-01A-01R-0905-07	TCGA-AA-3866-01A-01R-1022-07	TCGA-AA-3870-01A-01R-1022-07	TCGA-AA-3939-01A-01R-1022-07	TCGA-AA-3941-01A-01R-1022-07	TCGA-AA-3968-01A-01R-1022-07	TCGA-AA-3970-01A-01R-1022-07	TCGA-AA-3977-01A-01R-1022-07	TCGA-AA-3979-01A-01R-1022-07	TCGA-AA-3980-01A-02R-1022-07
?|100130426	0	0	0	0	0	0	0	0	0	0
?|100133144	0.256246401291556	0.232567606550864	0.227563616930945	0.163270208333779	0.512357670013958	0.197606926506425	0.435806811722472	0.110743246213826	0.255636916661293	0.26372138461052
?|100134869	0.0970971307277915	0.198280663301521	0.0862286227266566	0.0247466012129491	0.228403596345436	0.064180632878588	0.30486707570355	0.209814682287174	0.0861032748715579	0.0888262742533135
?|10357	1.94682800478113	6.34990013798075	6.42938778715746	7.50467918607916	10.8764643379212	6.75591982697438	3.94777297662873	5.99476176202768	4.63969392000497	8.18144454814776
?|10431	18.5505892083483	33.7042051128718	25.172240556559	44.4209460266566	31.0343284386062	22.9985576391132	33.5056097026758	40.3846345987271	55.4887086812692	35.7138827254548
?|136542	0	0	0	0	0	0	0	0	0	0
?|155060	3.6266547876798	0.738173750496213	1.05383440659372	0.951490614521317	1.54311736411712	3.71330593883256	1.43733305258328	1.17551170102367	1.43065842846113	1.78084130335356
?|26823	0	0	0	0.43506708456001	0.133851225211259	0.125372461775085	0.223326341301222	0.122957574840351	0.126147628809985	0.0650685115623997
?|280660	0	0	0	0	0	0	0	0	0	0
?|317712	0	0	0	0	0	0	0	0	0	0
?|340602	0	0	0.0354431213579914	0	0	0	0	0	0	0
?|388795	0.0390741798485483	0	0.164827068158263	0	0.0275745013310748	0	0.102238096160788	0.0506606316938785	0.0086624981157071	0
?|390284	0	0	0	0.11917245417958	0.219985095211254	0.103025104540251	0	0	0	0
?|391343	0	0	0	0	0	0	0	0	0	0
?|391714	0	0	0	0	0	0	0	0.0475401000093468	0	0
?|404770	0	0	0	0	0	0	0	0	0	0
?|441362	0	0	0	0.0243946087405324	0	0	0	0	0	0
?|442388	0	0	0	0	0	0	0	0	0	0
?|553137	0	0	0	0.064244433767819	0.0148239141927779	0	0.0164888069581792	0	0	0
?|57714	2.74763789521898	2.88246856214451	2.20325116751625	0.502550338834564	0.821222554679604	5.92570793432515	4.33891177385231	1.76023475560924	3.40398363455514	2.89062921540699
?|645851	0.35744301704411	0.36496463891758	0.27775374491456	0.318848240570538	0.420410314751299	1.06320480285938	0.607915275474303	0.849628323146259	0.594321392083992	0.449618906685219
?|652919	0.116370546150451	0.0950554518203381	0.062006808102086	0.0474539336342146	0.0547481703119736	0.133328428522316	0.0608970073523131	0.120701811813205	0.041277780494816	0.159686933638851
?|653553	83.8860594422325	11.7059028630602	94.1575822243093	32.1987706186355	36.2164175973183	9.57700820866685	10.4164251158799	17.2050242254299	19.1823858864443	7.52540391990965
?|728045	0	0	0	0	0	0	0	0	0	0
?|728603	0	0	0	0	0.0389385382432754	0	0	0	0	0
?|728788	0	0	0.0439975751044464	0	0.13984967960613	0	0.155556376015192	0.0856452249848283	0	0.0906460186682341
?|729884	0	0	1.38349303813916	0.572485277311174	0	0	0.0189590402103409	0.0939451133611671	0	0.066287023014879
?|8225	91.8396991821267	15.7073693138374	30.9282637081212	24.54845785465	25.3673439857302	22.0448162697781	23.3880601565979	23.1414460358386	26.2247966473289	28.0299542130581
?|90288	0	0.0161907370166807	0.0475271177822582	0.0545588967267509	0.0503562009093533	0.0314442688822712	0.0933529504132969	0	0	0.0326392533793872
A1BG|1	0.851068173339118	0.662077773873002	0.728811363886459	1.19298835022582	0.400397066460703	0.294669603795015	0.874826411591065	0.446626729035179	0.0808613237305165	0.430995828353617
A1CF|29974	4.014487391054	3.43206878754844	0.811703295037149	3.21561393732543	5.76719609729141	2.79570717911055	3.75141360715963	0.929443085407378	2.86067063758075	1.06568900826607
A2BP1|54715	0.154233010842152	0.0612416442760995	0.24825637233199	0.0294813769308228	0.0453506891597689	0.0169911856516308	0.0706217162992071	0.0666556260220737	0	0
A2LD1|87769	8.65265407321817	4.5625369426888	4.95139009972661	14.1633177512197	5.27479221997881	4.91381075379262	8.51383318144878	17.4859225801308	5.75471576593328	6.66137606243855
A2ML1|144568	1.19383998309719	0.00967429988682658	0.833020755310852	0.141266961524719	0.040118493947617	0.0281829004982009	0.0111560633303824	0.184266999209782	0.01890476861505	0.0390052565178462
A2M|2	38.3401192435012	50.3121945667827	51.3328414250869	23.2392120936163	17.7540408117294	54.2220689522742	34.0340132076457	19.8448545093769	8.55321914993851	32.6634949081045
A4GALT|53947	4.34385998566789	3.01482215246738	4.27905472893169	1.15361184182704	1.4769093679914	2.58976926700685	1.27984252951996	0.914989953151593	0.74450902437289	1.50271430476183
A4GNT|51146	0	0	0.0388053146883937	0	0	0	0	0	0	0
AAA1|404744	0.186698222412665	0.423615302643914	0.0414500677401359	0.428244560917935	0.17566964177304	0.0411354759985803	0.0488498309882849	1.21029410216799	0.372508317643959	0.597782610445399
AAAS|8086	30.5495361646689	20.5505076432231	13.6032614016276	16.7579960024585	16.3793356748495	20.1835702159248	20.6315738021708	18.4354207978896	22.5627255556175	18.1519409448996
AACSL|729522	0	0	0.0243875842133234	0	0.0387589069454888	0	0.02874131290936	0	0	0
AACS|65985	27.0691172780841	12.3401758941141	18.2001280444559	17.7437811842955	8.29937677013652	10.2008726705463	11.4127708216365	6.84115604600678	10.9130034613739	10.0210931920557
AADACL2|344752	0	0	0	0	0.0261173122363432	0	0	0	0.0246141714751189	0
AADACL3|126767	0	0	0	0	0	0	0	0	0	0
AADACL4|343066	0	0	0	0	0	0	0	0	0	0
AADAC|13	0.852372087310694	0.529310390329677	0.756962338521601	0.846089881934674	7.80915206102093	0.197688751320713	0.281714851403744	1.12450939169935	0.238693252426545	0.533524073935409
AADAT|51166	0.766925284092046	2.05502400427484	2.46486084747477	5.82662754618546	1.32297312922351	3.04159863847738	4.10889552911608	7.57590418648241	3.17375289623308	3.84208219286807
AAGAB|79719	9.61926085742239	18.3803928684293	7.4507220402345	17.0510649192737	17.69528152737	12.7998979829032	18.8342706608002	21.1830485638366	15.2272168474712	11.9020849473525
