	DITTY_p_TCGA_B_24_AMplate1_2_HT_HG-U133A_96-HTA_A01_547336	DITTY_p_TCGA_B_24_AMplate1_2_HT_HG-U133A_96-HTA_A02_547340	
1007_s_at	9.09289893619749	9.36619369280451	
1053_at	6.70041850684378	6.90196819381169	
117_at	3.41238309867145	3.24509131419743	
121_at	8.46979585508744	9.51801163316568	
1255_g_at	2.83567509304177	2.75114775179488	
1294_at	6.18940758848691	6.01982278083412	
1316_at	3.53116755899435	3.45058042545984	
1320_at	2.88436899181900	3.28870999099460	
1405_i_at	4.69030572951298	6.49923147142799	
1431_at	3.22441822309807	3.18168893585669	
1438_at	3.40104491959874	2.79274025182835	
1487_at	5.1262073118571	4.68606395207834	
1494_f_at	3.54462245928017	3.38821952838867	
1598_g_at	9.6426777814638	9.97464058812688	
160020_at	4.439956291371	4.5966347091388	
1729_at	6.2579999466301	5.97904487653666	
1773_at	3.5455824471765	3.53652149499033	
177_at	3.05905996782574	3.59091358210521	
179_at	6.0375096148857	6.24929635716969	
1861_at	4.48649721830599	5.10998801958773	
200000_s_at	8.47608440983714	9.6547681590325	
200001_at	9.39391172878552	9.9354791269886	
200002_at	11.9764370173253	10.9674877720636	
200003_s_at	12.5546456771794	11.9783544652802	
200004_at	10.5930495836093	10.5018990182517	
200005_at	9.7624536348409	9.55686704479226	
200006_at	11.1084475810650	10.9399190662035	
200007_at	10.7047610101064	10.6928905394389	
200008_s_at	8.23595469055661	8.6008006057554	
200009_at	10.8962934545851	11.0435094699431	
200010_at	11.7723533872791	11.2038318953624	
200011_s_at	8.5597189619421	9.85159809396079	
200012_x_at	12.6861585049207	12.0938031854753	
200013_at	12.1600215313608	11.6033559046397	
200014_s_at	9.3759454175233	9.70266177081596	
200015_s_at	10.9347225996836	9.98798235723228	
200016_x_at	10.9967527089036	11.6077099272819	
200017_at	12.4926769468226	12.2196940089444	
200018_at	12.6308595663466	12.1855586450526	
200019_s_at	12.5058284831801	11.7193262114277	
200020_at	7.3918713661762	7.75532742181723	
200021_at	11.9518437492495	12.5446531632217	
200022_at	12.1731517795412	11.6019677698354	
200023_s_at	10.1404529565637	10.7380679903047	
200024_at	12.3624416969993	11.4691351376176	
200025_s_at	12.5351444100410	12.1035815667535	
200026_at	12.4169177773080	12.6425719999523	
200027_at	10.1044187730420	11.2106704328919	
