PROBE_ID	CHR	STRAND	TX_START	TX_END	CDS_START	CDS_END	exonCount	exonStarts	exonEnds	GENE_SYMBOL	GENE_TITLE	REFSEQ_ACC	PROTEIN_ACC	ENTREZ_ID
NR_024227	chr19	-	50595745	50595866	50595866	50595866				SNAR-A6		NR_024227		100169957
NR_024227	chr19	-	50601082	50601203	50601203	50601203				SNAR-A6		NR_024227		100169957
NM_001014809	chr4	-	5822491	5894785	5823486	5894696				CRMP1	dihydropyrimidinase-related protein 1 isoform 1	NM_001014809	NP_001014809	1400
NM_001029883	chr2	-	29284557	29297127	29287734	29297127				C2orf71	chromosome 2 open reading frame 71	NM_001029883	NP_001025054	388939
NM_024329	chr1		15736390	15756839	15736467	15755220				EFHD2	EF-hand domain-containing protein D2	NM_024329	NP_077305	79180
NM_024328	chr14	+	24025197	24028786						THTPA	thiamine-triphosphatase	NM_024328	NP_077304	79178
NM_024326	chr10	+	104179570	104182893						FBXL15	F-box only protein 37	NM_024326	NP_077302	79176
NM_138275	chr6		31691160	31692850	31691160	31692850				C6orf25	protein G6b isoform G6b-E precursor	NM_138275	NP_612119	80739
NM_138275	chr6_cox_hap2	+	3200777	3202467	3200777	3202467				C6orf25	protein G6b isoform G6b-E precursor	NM_138275	NP_612119	80739
NM_138275	chr6_dbb_hap3	+	2976730	2978420	2976730	2978420				C6orf25	protein G6b isoform G6b-E precursor	NM_138275	NP_612119	80739
