locusLinkId,name,Product,chrom,txStart,txEnd,Ref_Seq
497097,Xkr4,-,chr1,3204563,3661579,-
100038975,LOC100038975,-,chr1,3456668,3503634,-
664792,LOC664792,-,chr1,3521876,3522820,-
619785,LOC619785,-,chr1,4246316,4251622,-
19888,Rp1h,-,chr1,4334224,4350473,-
20671,Sox17,-,chr1,4481009,4486494,-
664830,LOC664830,-,chr1,4511779,4516818,-
664838,LOC664838,-,chr1,4524905,4540265,-
664853,LOC664853,-,chr1,4581178,4601487,-
619596,LOC619596,-,chr1,4678850,4679490,-
619980,EG619980,-,chr1,4682300,4683722,-
100039121,LOC100039121,-,chr1,4720207,4754789,-
620009,LOC620009,-,chr1,4761177,4762636,-
27395,Mrpl15,-,chr1,4763290,4775791,-
18777,Lypla1,-,chr1,4797974,4836816,-
21399,Tcea1,-,chr1,4847896,4887986,-
619829,LOC619829,-,chr1,4869290,4870745,-
58175,Rgs20,-,chr1,4900050,5009460,-
108664,Atp6v1h,-,chr1,5073254,5152630,-
636659,EG636659,-,chr1,5266188,5267418,-
18387,Oprk1,-,chr1,5578574,5592947,-
226304,Npbwr1,-,chr1,5903788,5907479,-
654788,4732440D04Rik,-,chr1,6199939,6209341,-
12421,Rb1cc1,-,chr1,6204743,6265656,-
620393,EG620393,-,chr1,6349134,6384812,-
100039302,LOC100039302,-,chr1,6370355,6370978,-
664946,LOC664946,-,chr1,6372715,6373187,-
240690,St18,-,chr1,6720132,6851021,-
665015,LOC665015,-,chr1,6900641,6901302,-
665027,LOC665027,-,chr1,6906610,6913723,-
100039347,LOC100039347,-,chr1,6969236,6991644,-
435608,LOC435608,-,chr1,7009095,7027301,-
319263,Pcmtd1,-,chr1,7079231,7163709,-
545302,LOC545302,-,chr1,7167786,7169831,-
665063,LOC665063,-,chr1,7587529,7589555,-
665069,LOC665069,-,chr1,7654180,7655042,-
100039408,LOC100039408,-,chr1,7719074,7720658,-
71096,Sntg1,-,chr1,8352742,9289811,-
100039474,LOC100039474,-,chr1,8781724,8782310,-
620444,LOC620444,-,chr1,8846004,8846346,-
665007,EG665007,-,chr1,8846844,8847185,-
665103,LOC665103,-,chr1,8952670,8953704,-
100039464,LOC100039464,-,chr1,9226052,9228974,-
620853,EG620853,-,chr1,9386853,9389561,-
665138,LOC665138,-,chr1,9410721,9441827,-
59014,Rrs1,-,chr1,9535523,9537533,-
76187,Adhfe1,-,chr1,9538161,9568049,-
620542,LOC620542,-,chr1,9564617,9565746,-
76982,3110035E14Rik,-,chr1,9591348,9617223,-
17864,Mybl1,-,chr1,9658912,9690290,-
70675,Vcpip1,-,chr1,9713273,9738463,-
100039536,LOC100039536,-,chr1,9738562,9761337,-
665173,LOC665173,-,chr1,9771924,9772439,-
170755,Sgk3,-,chr1,9788211,9892651,-
620986,EG620986,-,chr1,9792184,9792634,-
100039643,LOC100039643,-,chr1,9892051,9892343,-
240697,6030422M02Rik,-,chr1,9901800,9931035,-
100039596,LOC100039596,-,chr1,9953489,9957566,-
69312,4930418G15Rik,-,chr1,9958705,9999211,-
26754,Cops5,-,chr1,10014911,10027987,-
211660,Cspp1,-,chr1,10028299,10126849,-
211673,Arfgef1,-,chr1,10127588,10222751,-
329093,Cpa6,-,chr1,10314808,10710024,-
433271,LOC433271,-,chr1,10750157,10796606,-
109294,C030045D06Rik,-,chr1,11248121,11288956,-
320492,A830018L16Rik,-,chr1,11404193,11965982,-
665262,LOC665262,-,chr1,12108169,12111916,-
100039709,LOC100039709,-,chr1,12555658,12556512,-
621353,LOC621353,-,chr1,12645921,12646634,-
100039733,LOC100039733,-,chr1,12647457,12764674,-
240725,Sulf1,-,chr1,12708626,12850453,-
240726,Slco5a1,-,chr1,12856630,12981216,-
383490,LOC383490,-,chr1,13052077,13052609,-
383491,Prdm14,-,chr1,13103509,13117244,-
17978,Ncoa2,-,chr1,13129240,13364164,-
665341,LOC665341,-,chr1,13396980,13397735,-
100039812,LOC100039812,-,chr1,13426605,13426881,-
621685,EG621685,-,chr1,13537455,13549886,-
72265,Tram1,-,chr1,13554783,13579945,-
212442,Lactb2,-,chr1,13615979,13650590,-
381246,Xkr9,-,chr1,13658852,13691804,-
100039843,LOC100039843,-,chr1,13764706,13769299,-
433273,EG433273,-,chr1,13775908,13776960,-
100039859,LOC100039859,-,chr1,13834966,13860918,-
100039869,LOC100039869,-,chr1,13987485,13994227,-
14048,Eya1,-,chr1,14159039,14300280,-
665391,LOC665391,-,chr1,14540499,14541171,-
17681,Msc,-,chr1,14743427,14746047,-
114607,Smt3h2-ps4,-,chr1,14829953,14830237,-
665407,EG665407,-,chr1,14855068,14856131,-
277328,Trpa1,-,chr1,14862729,14908943,-
269105,EG269105,-,chr1,15057085,15057712,-
100039949,LOC100039949,-,chr1,15095415,15098407,-
100039959,LOC100039959,-,chr1,15258671,15267235,-
98741,Kcnb2,-,chr1,15302533,15706448,-
606528,Ppia-ps1_109.1,-,chr1,15750001,15750754,-
21749,Terf1,-,chr1,15795739,15833510,-
226866,Gm106,-,chr1,15843943,15882803,-
665434,LOC665434,-,chr1,16043393,16044001,-
75799,4930444P10Rik,-,chr1,16056058,16090599,-
19989,Rpl7,-,chr1,16091379,16094488,-
98711,Rdh10,-,chr1,16095963,16122631,-
665282,EG665282,-,chr1,16243710,16248938,-
29819,Stau2,-,chr1,16334279,16365476,-
66799,Ube2w,-,chr1,16559487,16609367,-
67923,Tceb1,-,chr1,16631917,16646946,-
665480,LOC665480,-,chr1,16653117,16653743,-
70397,Tmem70,-,chr1,16655272,16668356,-
17087,Ly96,-,chr1,16678537,16699686,-
100040056,LOC100040056,-,chr1,16740735,16741255,-
665496,LOC665496,-,chr1,16748283,16750490,-
545306,EG545306,-,chr1,16757094,16802108,-
57339,Jph1,-,chr1,16987545,17087879,-
14545,Gdap1,-,chr1,17135478,17154352,-
383495,LOC383495,-,chr1,17384839,17385669,-
108212,Rbm6-ps1,-,chr1,17387464,17391292,-
606716,Ppia-ps1_125.1,-,chr1,17418916,17419567,-
