CloneID	Ch	Start	End	Gene	BxPC-3_vs_humd	DanG_vs_humd	HPAC_vs_humd	HUP-T4_vs_humd	PA-8902_vs_humd	Panc1_vs_humd	SU86.86_vs_humd
A_23_P23617	1	950296	950416	DKFZP434H2010	-0.097711693	0.203664686	0.259685327	0.491750948	-0.100409583	0.170317492	-0.045303046
A_23_P135742	1	951235	951355	BAC85711	0.167088798	0.173619886	0.418478675	0.235525296	-0.221578146	0.179601761	-0.01804242
A_23_P149448	1	974647	974767	Hes4	-0.129794424	-0.021424027	-0.03080416	-0.024325029	0.078840225	-0.151458116	-0.05456914
A_23_P404628	1	989584	989704	G1P2	0.127799257	-0.008026074	0.180968972	-0.047681154	-0.117773762	0.071013171	-0.030159449
A_23_P811	1	989864	989984	G1P2	0.052852598	-0.334364897	-0.679439399		-0.171478892	-0.12390906	-0.119914754
A_23_P160828	1	1057451	1057571	FLJ20584	0.203050382	-0.105801726	-0.35247632	-0.030920385	-0.294359332	-0.159584078	0.025019712
A_23_P201338	1	1192329	1192449	Cab45		0.651972692			0.715545645	0.93479385	0.894432245
A_23_P35021	1	1208830	1208950	B3GALT6	0.029580189	-0.086064943	-0.565235213	-0.102919121	-0.20032067	0.061868884	0.321195489
A_23_P217881	1	1232482	1232602	UBE2J2	0.091707135	-0.182445048			-0.116603863	-0.005429054	-0.035224852
A_23_P51884	1	1286812	1286932	PUSL1	0.182601351	0.206264938	0.16755899	0.046868125	-0.116132211	0.096395478	-0.017601851
A_23_P201357	1	1554989	1555109	ATAD3A	-0.013931641	0.170663535	0.345244135	0.147733934	-0.032627861	0.133805379	-0.100904825
A_23_P63289	1	1562535	1562655	HSPC182	0.278287319	0.319302131			0.224836596	0.166297536	-0.018411323
A_23_P22926	1	1749549	1749669	GNB1	0.424310253	0.010369327	-0.023318758	-0.018198391	-0.296711135	-0.074856305	-0.085894985
A_23_P309720	1	1993235	1993355	GABRD	0.043265005	-0.00725909	0.137448093	0.005677146	-0.188753317	0.004913912	-0.033072791
A_23_P217818	1	1993906	1994026	GABRD	0.283859577	-0.341882908	-0.688297819	-0.440089632	-0.538860233	-0.417712117	0.104257384
A_23_P11531	1	2145633	2145753	PRKCZ	0.273070508	-0.186002386					
A_23_P51187	1	2148804	2148924	FLJ31031	0.10206194	-0.195905836		-0.380344471	-0.262755028	-0.083916715	-0.192094154
A_23_P121	1	2176123	2176243	BAC86730	0.221552376	-0.010888552	-0.033087002			0.023277191	-0.01523071
A_23_P45717	1	2270641	2270761	SKI	1.516680374	0.01703423	-0.164915063	0.06933558	-0.107668566	0.121862247	0.97837828
A_23_P325631	1	2271474	2271594	SKI	0.698018189	0.170782317			-0.03199543	0.273559097	0.528256683
A_23_P85392	1	2365817	2365937	RER1	0.212258699	-0.04834646			-0.252801628	0.085374423	0.026367626
A_23_P501745	1	2368956	2369076	PEX10	0.260225681	-0.033358359	0.12449239	-0.090385724	-0.372171255	0.038699192	-0.218061156
A_23_P217926	1	2468298	2468418	Q86YU7	-0.081916468	0.048296434	0.040842495	0.014084733	-0.093183957	-0.011283737	-0.134413289
A_23_P149690	1	2474231	2474351	PANK4	0.195317502	0.030967071	0.145271411	-0.01243708	-0.237579289	0.141385018	-0.045477112
A_23_P126908	1	2521456	2521576	TNFRSF14	0.209026536	-0.061369951	0.107098429	-0.049635433	-0.193544977	0.076951991	-0.060498016
A_23_P357235	1	2554517	2554637	MGC26818	-0.192060132	0.054885096		-0.032032638	0.014445106	-0.089026766	-0.096222066
A_23_P138294	1	2555096	2555216	MMEL2	0.119534894	-0.024742854	-0.005395189	0.013154255	-0.231774733	0.041240711	-0.159650141
A_23_P148835	1	2961581	2961701	ARPM2	0.155442879	-0.043491045	-0.115810946		-0.313937717	0.47377247	-0.042956683
A_23_P425201	1	2999301	2999421	FLJ42875	0.185159166	-0.021341022		-0.001755224		0.086771293	-0.162976314
A_23_P85387	1	3119955	3120075	PRDM16	0.496199231	-0.310162793	0.133937416	-0.369798725	-0.496889882	0.021526388	-0.018075201
A_23_P125972	1	3365827	3365947	PRDM16	0.261094557	-0.451436145	-0.550224001	0.052398096		-0.141644373	-0.184266208
A_23_P114670	1	3420575	3420695	ARHGEF16	0.024357704		-0.040264945	-0.109028547	-0.16305193	-0.078548813	-0.142672534
A_23_P137358	1	3570715	3570835	WDR8	0.058154552	0.043921963	0.151435215	0.085935774	-0.024712578	0.123849627	-0.020771986
A_23_P74081	1	3671121	3671241	TP73	0.005167761	-0.226698626	0.085859912		-0.395725885	-0.064216352	-0.243621852
A_23_P381478	1	3706200	3706320	FLJ32825	0.074503627	-0.123939656	-0.036536211	0.151601376	-0.014132168	-0.242494014	-0.057216307
