tracking_id	locus	nearest_ref_id	class_code	transcript_length	T1a	T1b	T2	T3	N1	N2
Gene_00001	chr1:789310-789403	NR_015368	c		0	0	2	0	0	1
Gene_00002	chr1:1431363-1431403	NM_031921	c		20	8	12	5	19	26
Gene_00003	chr1:2495127-2495222	NM_003820	c		3	0	2	0	0	0
Gene_00004	chr1:5446956-5447187	-	-		75	84	241	149	271	257
Gene_00005	chr1:7831345-7831406	NM_004781	c		10	16	4	0	4	10
Gene_00006	chr1:7838183-7838231	NM_004781	.		129	126	451	223	243	149
Gene_00007	chr1:7839759-7840083	NM_004781	c		13	4	21	19	31	4
Gene_00008	chr1:7841355-7841452	NM_004781	c		0	3	0	0	0	0
Gene_00009	chr1:8029403-8037801	NM_001123377	.		202	122	256	43	287	357
Gene_00010	chr1:9353934-9369398	NM_025106	i		10	8	56	145	14	15
Gene_00011	chr1:10075965-10076047	NM_052960	c		2	3	5	0	3	0
Gene_00012	chr1:10240132-10240521	NM_001105562	c		104	60	218	213	111	121
Gene_00013	chr1:10240800-10240849	NM_001105562	c		6	6	22	13	15	6
Gene_00014	chr1:10240946-10241102	NM_001105562	c		0	0	4	0	0	0
Gene_00015	chr1:10364187-10364379	NM_183416	c		35	30	154	238	201	71
Gene_00016	chr1:10365543-10365808	NM_183416	c		28	13	77	56	29	45
Gene_00017	chr1:10439560-10439645	NM_015074	c		7	7	52	18	21	27
Gene_00018	chr1:10478881-10478921	NM_002631	e		143	139	229	110	430	71
Gene_00019	chr1:10479748-10480201	NM_002631	c		57	116	93	349	142	79
Gene_00020	chr1:11076882-11077069	NM_007375	c		583	293	4	5	1785	174
Gene_00021	chr1:11080487-11080565	NM_007375	c		0	3	0	0	0	2
Gene_00022	chr1:11082176-11083248	NM_007375	c		0	0	4	0	0	0
Gene_00023	chr1:11082176-11083248	NM_007375	c		154	170	284	55	142	62
Gene_00024	chr1:11083394-11083905	NM_007375	c		0	0	2	0	27	8
Gene_00025	chr1:12062063-12062152	NM_001127660	c		22	18	193	123	369	108
Gene_00026	chr1:12064568-12064625	NM_001127660	.		0	0	4	0	0	0
Gene_00027	chr1:12064880-12065827	NM_001127660	c		137	220	1319	2057	1989	428
Gene_00028	chr1:12072441-12072525	NM_001127660	c		389	364	829	590	954	726
Gene_00029	chr1:12072798-12085211	NM_001127660	c		13	7	27	15	7	8
Gene_00030	chr1:12268152-12268198	NM_001066	c		6	10	19	26	22	6
Gene_00031	chr1:12269213-12269253	NM_001066	c		35	22	56	4	0	16
Gene_00032	chr1:14059341-14059381	NM_015866	e		11	13	19	23	6	22
Gene_00033	chr1:14068524-14068617	NM_015866	c		970	966	1084	5972	2926	920
Gene_00034	chr1:14105061-14105448	NM_001007257	c		33	21	47	59	62	79
Gene_00035	chr1:14106779-14107464	NM_001007257	c		16	18	16	10	34	11
Gene_00036	chr1:14106779-14107464	NM_001007257	c		0	0	0	4	0	6
Gene_00037	chr1:14108616-14108745	NM_001007257	c		70	92	71	78	10	45
Gene_00038	chr1:15392623-15392745	NM_001017999	c		2	5	9	6	6	25
Gene_00039	chr1:15755125-15755352	NM_024329	c		3	1	32	1	0	5
Gene_00040	chr1:15756532-15756755	NM_024329	c		0	0	1	0	0	0
Gene_00041	chr1:15894895-15894963	NM_015291	c		18	27	54	60	34	28
