chip_vendor	chip_type	create_date	genome-species	genome-version	netaffx-annotation-netaffx-build	probeset_id	gene_symbol	gene_desc	chr_location	strand	refseq_accn
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	1007_s_at	DDR1|MIR4640	discoidin domain receptor tyrosine kinase 1|microRNA 4640	chr6p21.3	-	NP_001189450|NP_001189451|NP_001189452|NP_001945|NP_054699|NP_054700
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	1053_at	RFC2	replication factor C (activator 1) 2, 40kDa	chr7q11.23	-	NP_002905|NP_852136
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	117_at	HSPA6	heat shock 70kDa protein 6 (HSP70B')	chr1q23	-	NP_002146
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	121_at	PAX8	paired box 8	chr2q13	-	NP_003457|NP_039246|NP_039247|NP_054698
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	1255_g_at	GUCA1A	guanylate cyclase activator 1A (retina)	chr6p21.1	-	NP_000400
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	1294_at	UBA7	ubiquitin-like modifier activating enzyme 7	chr3p21	-	NP_003326
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	1316_at	THRA	thyroid hormone receptor, alpha	chr17q11.2	-	NP_001177847|NP_001177848|NP_003241|NP_955366
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	1320_at	PTPN21	protein tyrosine phosphatase, non-receptor type 21	chr14q31.3	-	NP_008970
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	1405_i_at	CCL5	chemokine (C-C motif) ligand 5	chr17q11.2-q12	-	NP_002976
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	1431_at	CYP2E1	cytochrome P450, family 2, subfamily E, polypeptide 1	chr10q24.3-qter	-	NP_000764
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	1438_at	EPHB3	EPH receptor B3	chr3q21-qter	-	NP_004434
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	1487_at	ESRRA	estrogen-related receptor alpha	chr11q13	-	NP_004442
