locusLinkId,name,Product,chrom,txStart,txEnd,Ref_Seq
653635,LOC653635,-,chr1,815,19836,-
728439,LOC728439,-,chr1,15003,19498,-
79504,OR4G4P,-,chr1,42315,43258,-
403263,OR4G11P,-,chr1,52878,53747,-
79501,OR4F5,-,chr1,58954,59871,-
728462,LOC728462,-,chr1,110381,121407,-
729737,LOC729737,-,chr1,114643,134341,-
653340,LOC653340,-,chr1,123324,126654,-
643670,LOC643670,-,chr1,127499,128748,-
728481,LOC728481,-,chr1,217633,224322,-
728496,LOC728496,-,chr1,321669,332669,-
729759,LOC729759,-,chr1,356723,358460,-
728517,LOC728517,-,chr1,455098,461226,-
440551,LOC440551,-,chr1,534556,536540,-
135896,OR4F29,-,chr1,610959,611897,-
728534,LOC728534,-,chr1,636751,735370,-
79854,FLJ22639,-,chr1,751449,752749,-
388579,LOC388579,-,chr1,798535,799564,-
728550,LOC728550,-,chr1,829609,843821,-
148398,SAMD11,-,chr1,850984,869824,-
26155,NOC2L,-,chr1,869459,884494,-
728559,LOC728559,-,chr1,884524,885834,-
339451,KLHL17,-,chr1,885830,890958,-
84069,PLEKHN1,-,chr1,891740,900351,-
84808,C1orf170,-,chr1,900442,907360,-
57801,HES4,-,chr1,924207,925333,-
728578,LOC728578,-,chr1,925348,928665,-
9636,ISG15,-,chr1,938742,939782,-
375790,AGRIN,-,chr1,945366,981355,-
643921,LOC643921,-,chr1,983611,994582,-
54991,C1orf159,-,chr1,1007068,1041332,-
406984,MIRN200B,-,chr1,1092346,1092440,-
406983,MIRN200A,-,chr1,1093105,1093194,-
554210,MIRN429,-,chr1,1094247,1094329,-
254173,TTLL10,-,chr1,1104940,1111104,-
8784,TNFRSF18,-,chr1,1128751,1131952,-
7293,TNFRSF4,-,chr1,1136569,1139375,-
51150,SDF4,-,chr1,1142151,1157274,-
126792,B3GALT6,-,chr1,1157508,1160281,-
388581,C1QDC2,-,chr1,1167696,1171965,-
118424,UBE2J2,-,chr1,1179155,1199097,-
6339,SCNN1D,-,chr1,1207439,1217272,-
