tracking_id	locus	nearest_ref_id	class_code	transcript_length	R1L1Kidney	R1L2Liver	R1L3Kidney	R1L4Liver	R1L6Liver	R1L7Kidney	R1L8Liver	R2L1Liver	R2L2Kidney	R2L3Liver	R2L4Kidney	R2L6Kidney	R2L7Liver	R2L8Kidney
TC_2	chr1:4274-19669	ENSG00000146556	KNOWN		0	0	0	0	0	0	0	0	0	0	0	0	0	1
TC_3	chr1:24417-25944	ENSG00000197194	KNOWN		0	0	0	0	0	0	0	0	0	0	0	0	0	0
TC_4	chr1:42912-44799	ENSG00000197490	NOVEL		0	0	0	0	0	0	0	0	0	0	0	0	0	0
TC_5	chr1:52878-53750	ENSG00000205292	KNOWN		0	0	0	0	0	0	0	0	0	0	0	0	0	0
TC_6	chr1:58954-59871	ENSG00000177693	KNOWN		0	0	0	0	0	0	0	0	0	0	0	0	0	0
TC_7	chr1:147647-147749	ENSG00000209338	NOVEL		0	0	0	0	0	0	0	0	0	0	0	0	0	0
TC_8	chr1:218155-218517	ENSG00000196573	NOVEL		0	0	0	0	0	0	0	0	0	0	0	0	0	0
TC_9	chr1:357522-358460	ENSG00000177799	KNOWN		0	0	0	0	0	0	0	0	0	0	0	0	0	0
TC_10	chr1:554742-554813	ENSG00000209341	NOVEL		0	0	0	0	0	0	0	0	0	0	0	0	0	0
TC_11	chr1:554815-554882	ENSG00000209342	NOVEL		0	0	0	0	0	2	1	0	4	0	2	3	0	0
TC_12	chr1:555925-555992	ENSG00000209343	NOVEL		0	0	0	0	0	0	0	0	0	0	0	0	0	0
TC_13	chr1:556000-556068	ENSG00000209344	NOVEL		0	0	0	0	0	0	0	0	0	0	0	0	0	0
TC_14	chr1:556070-556142	ENSG00000209346	NOVEL		0	0	0	0	0	0	0	0	0	0	0	0	0	0
TC_15	chr1:556239-556304	ENSG00000209349	NOVEL		0	0	0	0	0	0	0	0	0	0	0	0	0	0
TC_16	chr1:557859-557930	ENSG00000209350	NOVEL		4	35	7	32	31	3	29	12	6	34	4	7	25	4
TC_17	chr1:557932-557999	ENSG00000209351	NOVEL		0	0	0	0	0	0	0	0	0	0	0	0	0	0
TC_18	chr1:558707-558776	ENSG00000209352	NOVEL		0	2	0	0	0	1	0	0	1	0	0	0	0	0
TC_19	chr1:558845-559168	ENSG00000212679	KNOWN		110	177	131	135	141	149	148	50	112	145	39	118	64	48
TC_20	chr1:559649-560212	ENSG00000212678	KNOWN		12685	9246	13204	9312	8746	12403	8496	7410	13031	9070	11002	13268	7922	10655
TC_21	chr1:610959-611897	ENSG00000185097	KNOWN		0	0	0	0	0	0	0	0	0	0	0	0	0	0
TC_22	chr1:683476-683578	ENSG00000209353	NOVEL		0	0	0	0	0	0	0	0	0	0	0	0	0	0
TC_23	chr1:711269-711775	ENSG00000197049	NOVEL		0	1	0	0	0	0	0	1	1	0	0	0	0	0
TC_24	chr1:728395-729000	ENSG00000215918	NOVEL		0	0	0	0	0	0	0	0	0	0	0	0	0	0
TC_25	chr1:742614-745077	ENSG00000177757	KNOWN		2	1	0	0	1	2	0	0	1	1	1	3	0	1
TC_26	chr1:751449-752765	ENSG00000177750	KNOWN		1	1	4	2	5	3	1	3	3	1	4	7	4	3
TC_27	chr1:781761-782491	ENSG00000177741	KNOWN		1	4	1	5	3	0	4	2	6	2	1	0	1	0
TC_28	chr1:798710-798820	ENSG00000209354	NOVEL		0	0	0	0	0	0	0	0	0	0	0	0	0	0
TC_29	chr1:845736-846179	ENSG00000198907	KNOWN		6	0	0	1	1	6	0	0	2	0	5	0	1	2
TC_30	chr1:850393-869824	ENSG00000187634	KNOWN		49	27	43	34	23	41	35	31	42	25	50	47	31	46
TC_31	chr1:869459-884494	ENSG00000188976	KNOWN		73	34	77	56	45	68	55	46	70	42	63	82	42	67
TC_32	chr1:885830-890958	ENSG00000187961	KNOWN		15	8	15	13	11	13	12	15	12	20	23	15	16	15
TC_33	chr1:891740-900339	ENSG00000187583	KNOWN		1	0	1	1	0	3	0	1	0	2	4	3	2	3
TC_34	chr1:900447-907336	ENSG00000187642	KNOWN		4	0	5	0	2	12	1	1	9	4	13	9	0	11
TC_35	chr1:924208-925333	ENSG00000188290	KNOWN		9	2	10	3	1	12	2	2	10	1	10	13	6	14
TC_36	chr1:938742-939782	ENSG00000187608	KNOWN		12	15	11	17	5	7	10	14	16	16	6	13	19	7
TC_37	chr1:945366-981355	ENSG00000188157	KNOWN		410	50	414	53	44	350	42	74	462	70	527	472	71	496
TC_38	chr1:1007061-1041341	ENSG00000131591	KNOWN		10	5	9	9	3	7	6	12	12	11	14	16	10	8
TC_39	chr1:1007068-1041338	ENSG00000215916	KNOWN		10	5	9	9	3	8	6	12	13	11	14	17	9	8
TC_40	chr1:1092347-1092441	ENSG00000207730	KNOWN		0	0	0	0	0	0	0	0	0	0	0	0	0	0
TC_41	chr1:1093106-1093195	ENSG00000207607	KNOWN		0	0	0	0	0	0	0	0	0	0	0	0	0	0
TC_42	chr1:1094248-1094330	ENSG00000198976	KNOWN		0	0	0	0	0	0	0	0	1	0	1	1	0	0
TC_43	chr1:1098299-1104798	ENSG00000205231	KNOWN		1	0	1	0	0	0	0	0	1	0	0	1	0	1
TC_44	chr1:1099146-1123178	ENSG00000162571	KNOWN		1	0	1	0	0	1	0	0	0	0	0	1	0	1
TC_45	chr1:1128752-1131952	ENSG00000186891	KNOWN		0	3	0	0	0	0	0	0	0	0	0	0	0	0
TC_46	chr1:1136583-1139411	ENSG00000186827	KNOWN		2	0	1	0	1	1	0	1	0	0	1	1	0	1
TC_47	chr1:1142177-1157274	ENSG00000078808	KNOWN		234	192	212	162	154	180	155	214	268	220	256	242	222	252
TC_48	chr1:1157492-1160284	ENSG00000176022	KNOWN		25	38	21	32	28	28	22	45	39	45	35	30	27	25
TC_49	chr1:1167696-1171965	ENSG00000184163	KNOWN		2	2	4	3	3	4	2	4	3	4	4	3	2	3
TC_50	chr1:1179157-1199097	ENSG00000160087	KNOWN		66	58	66	56	64	58	53	62	59	59	64	66	62	56
TC_51	chr1:1204310-1217267	ENSG00000162572	KNOWN		11	4	6	7	7	6	3	9	12	7	12	12	8	6
TC_52	chr1:1217633-1233132	ENSG00000131584	KNOWN		78	51	71	38	25	72	48	66	75	54	78	83	58	101
TC_53	chr1:1233840-1236919	ENSG00000169972	KNOWN		18	27	23	36	20	23	28	27	28	32	18	13	25	21
TC_54	chr1:1236828-1249909	ENSG00000127054	KNOWN		98	68	108	76	48	77	60	63	108	78	105	105	68	88
TC_55	chr1:1250006-1254139	ENSG00000187488	KNOWN		7	0	2	2	3	1	0	1	3	1	3	4	2	3
TC_56	chr1:1250006-1254139	ENSG00000215792	KNOWN		7	0	2	2	3	1	0	1	3	1	3	4	2	3
TC_57	chr1:1256589-1260550	ENSG00000169962	KNOWN		1	0	0	0	0	0	0	0	0	0	0	1	0	0
TC_58	chr1:1260521-1274623	ENSG00000107404	KNOWN		7	6	11	3	2	10	2	3	13	3	9	10	4	7
TC_59	chr1:1277935-1286506	ENSG00000162576	KNOWN		15	3	7	4	1	8	0	0	16	3	21	10	4	20
TC_60	chr1:1298973-1300443	ENSG00000175756	KNOWN		0	0	0	0	0	0	0	0	0	0	0	0	0	0
TC_61	chr1:1310955-1324560	ENSG00000116148	KNOWN		5	2	5	1	1	4	3	3	6	2	12	5	3	3
TC_62	chr1:1327156-1332524	ENSG00000131586	KNOWN		2	0	3	0	0	2	0	1	0	0	4	2	0	4
TC_63	chr1:1351371-1353030	ENSG00000205116	NOVEL		3	0	0	0	0	3	0	0	1	0	3	0	0	2
TC_64	chr1:1360772-1366008	ENSG00000179403	KNOWN		9	9	8	10	5	13	9	15	11	13	11	12	20	13
TC_65	chr1:1374932-1394342	ENSG00000215915	KNOWN		0	1	0	0	2	0	1	1	0	0	0	0	0	0
TC_66	chr1:1397027-1421444	ENSG00000160072	KNOWN		4	2	2	5	4	2	2	5	3	4	3	5	5	5
TC_67	chr1:1437394-1459928	ENSG00000197785	KNOWN		14	30	21	24	17	18	17	18	16	29	25	27	24	23
TC_68	chr1:1460429-1465581	ENSG00000205090	KNOWN		1	0	0	0	0	0	0	0	4	0	0	1	0	0
TC_69	chr1:1466917-1500125	ENSG00000160075	KNOWN		112	96	114	94	78	117	72	87	128	102	110	120	80	102
TC_70	chr1:1488736-1489138	ENSG00000215791	NOVEL		6	4	3	3	1	2	2	4	3	4	4	2	2	4
TC_71	chr1:1497046-1505289	ENSG00000197118	NOVEL		0	0	0	0	0	0	0	0	0	0	0	0	0	0
TC_72	chr1:1540736-1555853	ENSG00000197530	KNOWN		44	30	43	30	29	34	25	45	61	32	72	48	40	60
TC_73	chr1:1557421-1559893	ENSG00000189409	KNOWN		0	0	0	0	0	0	0	1	0	0	1	1	1	0
TC_74	chr1:1557423-1623109	ENSG00000215914	KNOWN		0	0	0	0	0	0	0	0	0	0	0	0	0	0
TC_75	chr1:1560963-1578798	ENSG00000189229	KNOWN		16	13	24	22	9	19	10	15	23	14	24	19	9	17
TC_76	chr1:1582802-1614027	ENSG00000189339	KNOWN		49	23	58	16	25	35	15	21	68	21	53	43	19	48
TC_77	chr1:1624029-1645637	ENSG00000008128	KNOWN		50	56	60	78	53	46	58	48	54	64	46	64	52	58
TC_78	chr1:1646137-1667291	ENSG00000215790	KNOWN		2	0	2	0	0	4	1	0	5	3	4	1	4	5
TC_79	chr1:1672531-1701368	ENSG00000008130	KNOWN		79	173	82	153	161	91	145	169	93	204	63	80	148	84
TC_80	chr1:1706590-1812355	ENSG00000078369	KNOWN		848	316	838	320	360	836	314	282	852	351	756	884	300	744
TC_81	chr1:1836126-1838593	ENSG00000169885	KNOWN		0	5	0	1	4	1	4	4	0	8	1	0	2	0
TC_82	chr1:1838889-1840572	ENSG00000178821	KNOWN		1	7	2	4	8	2	3	7	2	6	3	5	6	3
TC_83	chr1:1843260-1849228	ENSG00000205073	KNOWN		0	6	0	13	3	0	7	11	0	2	0	0	5	0
TC_84	chr1:1863709-1864239	ENSG00000185011	KNOWN		0	0	0	0	0	0	0	0	0	0	0	0	0	0
TC_85	chr1:1874612-1925136	ENSG00000142609	KNOWN		0	0	0	0	0	0	0	0	0	0	0	0	0	0
